"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","sig"
"ENSSSCG00000000002",18.5829488249015,0.109074729022243,0.280696189432182,0.38858642592509,0.697582109697652,0.901685964223942,0.109074729022243,"not"
"ENSSSCG00000000003",550.756681179883,0.148196221644938,0.0762700344860204,1.94304647485247,0.0520105432670291,0.311977703355691,0.148196221644938,"not"
"ENSSSCG00000000005",620.300825171307,0.0320246690161044,0.0621767708360798,0.51505841466957,0.606512200984061,0.861717720892778,0.0320246690161044,"not"
"ENSSSCG00000000006",330.754081805584,-0.00698342949874528,0.095206207992537,-0.0733505686865787,0.941527152049124,0.982289054263852,-0.00698342949874528,"not"
"ENSSSCG00000000007",421.807927592201,0.0804937211774834,0.101834867233121,0.790433800961479,0.429274468700308,0.759132346500534,0.0804937211774834,"not"
"ENSSSCG00000000010",1352.54280631407,0.00147993353913496,0.136708720581319,0.0108254508771783,0.991362708582953,0.997686324477945,0.00147993353913496,"not"
"ENSSSCG00000000014",613.256020604128,-0.0829589696277824,0.0685477497165278,-1.21023622177024,0.226188262750977,0.586344281573446,-0.0829589696277824,"not"
"ENSSSCG00000000018",8247.72277274237,0.0454527150223512,0.075711246261554,0.600342977651286,0.548277681838773,0.835338110800366,0.0454527150223512,"not"
"ENSSSCG00000000019",2908.68561738515,-0.0222774402296816,0.0511189913745086,-0.435795770430451,0.662984912847522,0.888258267448728,-0.0222774402296816,"not"
"ENSSSCG00000000020",240.758203800676,-0.0272632021076578,0.133771387031099,-0.20380443615584,0.838506326050897,0.953504052510793,-0.0272632021076578,"not"
"ENSSSCG00000000021",26.1755118516664,-0.197734206927491,0.251165682349557,-0.787266019297559,0.431126157248261,0.76017923740854,-0.197734206927491,"not"
"ENSSSCG00000000022",6896.94988878801,-0.0762679585191677,0.0523070135381696,-1.45808283364358,0.144817712442836,0.484657056214656,-0.0762679585191677,"not"
"ENSSSCG00000000024",554.941273065821,0.104347584355837,0.162647686209199,0.641555910126039,0.52116156792444,0.820341986329364,0.104347584355837,"not"
"ENSSSCG00000000025",374.380547475789,-0.0478724518802417,0.121839081625355,-0.392915403182746,0.694381964567051,0.900998932202609,-0.0478724518802417,"not"
"ENSSSCG00000000026",8460.15627469678,0.0817742838560171,0.0706235416127803,1.15788987621684,0.246908979433149,0.609450344474427,0.0817742838560171,"not"
"ENSSSCG00000000028",70.3027298961282,-0.323155174938972,0.130562552732148,-2.47509847331134,0.0133199443963392,0.181191359234297,-0.323155174938972,"not"
"ENSSSCG00000000029",687.394059878024,-0.36139877317903,0.275272750740463,-1.312875219966,0.189224998137027,0.542023220876792,-0.36139877317903,"not"
"ENSSSCG00000000031",901.166432991295,0.190703442935426,0.0988080283474413,1.93003995854315,0.0536018868877541,0.315545832201268,0.190703442935426,"not"
"ENSSSCG00000000033",190.952749873024,0.25619127170483,0.131853117174967,1.9430050437478,0.0520155489107303,0.311977703355691,0.25619127170483,"not"
"ENSSSCG00000000034",9996.44955877766,-0.166185540059827,0.0901603473060811,-1.84322204855369,0.0652965969646815,0.345697524948337,-0.166185540059827,"not"
"ENSSSCG00000000035",2724.40992306017,0.00942243160129044,0.068189538499485,0.138180017179052,0.890098147569418,0.965649454126024,0.00942243160129044,"not"
"ENSSSCG00000000036",2042.49552648257,0.187657542136535,0.110364333032562,1.70034590868382,0.0890658798599962,0.393864789309879,0.187657542136535,"not"
"ENSSSCG00000000037",960.800758587176,0.0128785303473313,0.0543905192098435,0.236778955862597,0.812828278161232,0.942115316191305,0.0128785303473313,"not"
"ENSSSCG00000000038",4380.46329783396,-0.0651368746012738,0.0677582711053074,-0.961312523751388,0.336395052771125,0.689651588017308,-0.0651368746012738,"not"
"ENSSSCG00000000039",4160.09557381139,0.0251011240163846,0.0259702011949784,0.966535600857729,0.333776241556141,0.688118708562717,0.0251011240163846,"not"
"ENSSSCG00000000040",10979.664452249,-0.225218357184028,0.0906921192557002,-2.48332886068128,0.0130160861400728,0.179542162651056,-0.225218357184028,"not"
"ENSSSCG00000000045",1898.95957541183,0.288033204210545,0.102322976994903,2.8149415964011,0.00487860991587379,0.120229393588822,0.288033204210545,"not"
"ENSSSCG00000000046",55.8906658881567,0.178833596242149,0.382545406994479,0.467483318247575,0.640154124399892,0.878083676988976,0.178833596242149,"not"
"ENSSSCG00000000050",1043.74544477992,0.143969018908141,0.0740182936660153,1.94504644429871,0.05176938872659,0.311655569159256,0.143969018908141,"not"
"ENSSSCG00000000058",9262.04444298273,0.0555811165001009,0.0812051491239312,0.684453105495513,0.493689091762175,0.804235512674447,0.0555811165001009,"not"
"ENSSSCG00000000059",1210.56476401544,0.114239789856932,0.0587725170191587,1.94376207879088,0.0519241486414183,0.311977703355691,0.114239789856932,"not"
"ENSSSCG00000000061",1349.62293355112,0.0630870204695292,0.0771952505453872,0.817239662075284,0.413791480751107,0.748446401476912,0.0630870204695292,"not"
"ENSSSCG00000000062",3572.01058930525,-0.0971080625551811,0.239005842887552,-0.40629995226045,0.684522220469898,0.896929592870744,-0.0971080625551811,"not"
"ENSSSCG00000000063",547.475049108361,0.181720541052655,0.0576597153861896,3.15160315717028,0.00162376794253453,0.0799249181197694,0.181720541052655,"not"
"ENSSSCG00000000064",22333.0871899255,0.0236582340136576,0.0498052216851064,0.475015133217091,0.634776186897544,0.87582564289161,0.0236582340136576,"not"
"ENSSSCG00000000066",2022.72941853814,-0.0225784426205928,0.0590549691714124,-0.382329259288186,0.702217154443716,0.903509578928814,-0.0225784426205928,"not"
"ENSSSCG00000000067",460.412370244145,-8.79142997331028e-07,0.117194137810945,-7.501595333627e-06,0.999994014592902,0.999994014592902,-8.79142997331028e-07,"not"
"ENSSSCG00000000068",3625.35895626539,-0.105559907982071,0.0427969312015273,-2.46652984264218,0.0136429359520784,0.18327362032829,-0.105559907982071,"not"
"ENSSSCG00000000071",10672.2057262319,0.0711293608945761,0.0401858096973384,1.77001188803437,0.0767251603620598,0.371369342429563,0.0711293608945761,"not"
"ENSSSCG00000000072",1967.11037505244,0.131092442644474,0.12447155005055,1.05319201529374,0.29225299724807,0.649477592672006,0.131092442644474,"not"
"ENSSSCG00000000074",1323.7481968146,0.155158731759788,0.260904064118602,0.594696492306291,0.55204636695513,0.837386166819705,0.155158731759788,"not"
"ENSSSCG00000000075",700.953296210642,-0.258857534702102,0.0993839338740896,-2.60462153802496,0.00919757935541406,0.154990218607258,-0.258857534702102,"not"
"ENSSSCG00000000076",2456.21548270731,-0.0842394110836698,0.06526006593676,-1.29082632501937,0.196763907231408,0.551756660381891,-0.0842394110836698,"not"
"ENSSSCG00000000077",712.01087380253,0.137499640127904,0.0592129886890124,2.32211957498133,0.0202264979289372,0.213049025277448,0.137499640127904,"not"
"ENSSSCG00000000078",772.818971346862,0.194000862675415,0.0704549199710429,2.75354599444794,0.00589534858404892,0.127632720548246,0.194000862675415,"not"
"ENSSSCG00000000080",23.5309879793537,0.54680111084981,0.284810122504695,1.91987948335929,0.0548731240022393,0.319040467782867,0.54680111084981,"not"
"ENSSSCG00000000082",2158.84482221786,0.343732019691338,0.1663815663222,2.06592609559701,0.0388354584036744,0.273293728581356,0.343732019691338,"not"
"ENSSSCG00000000087",2817.18518518263,-0.0349776020442232,0.0551115320158536,-0.634669383427074,0.525644065794516,0.823278299789871,-0.0349776020442232,"not"
"ENSSSCG00000000091",54.4254495448089,0.101293326947828,0.110405336780429,0.917467668698632,0.358897627475319,0.707122087580087,0.101293326947828,"not"
