"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","sig"
"ENSSSCG00000000003",524.604007905024,-0.00407718412020508,0.0848950672802904,-0.0480261604215921,0.961695393656924,0.978784436744336,-0.00407718412020508,"not"
"ENSSSCG00000000005",678.572551585086,-0.192980722112307,0.0799856190382833,-2.41269273692738,0.0158351626674674,0.104404295953882,-0.192980722112307,"not"
"ENSSSCG00000000006",356.780442642739,-0.0550497952568027,0.115794397924035,-0.475409831941243,0.63449488795938,0.786342734986868,-0.0550497952568027,"not"
"ENSSSCG00000000007",547.244291493053,-0.0925411450265012,0.0811354508662984,-1.14057596326171,0.254046424630318,0.470319821033029,-0.0925411450265012,"not"
"ENSSSCG00000000010",2338.46086846406,-0.609889923249742,0.245740117444489,-2.48184923809809,0.0130702561399362,0.0961893498224255,-0.609889923249742,"not"
"ENSSSCG00000000014",719.025565996961,0.0969553582706765,0.0661093751130366,1.4665901485969,0.142487581534351,0.335471164467903,0.0969553582706765,"not"
"ENSSSCG00000000018",8283.20590623855,-0.0529439578292832,0.0619102817531558,-0.855172296588433,0.392455770523001,0.602251070368132,-0.0529439578292832,"not"
"ENSSSCG00000000019",3567.03398780214,0.0057045897354858,0.0538425434493807,0.105949484738753,0.915622431840947,0.95555746007265,0.0057045897354858,"not"
"ENSSSCG00000000020",219.591210425452,0.107511820783581,0.114330276267087,0.94036176849974,0.347032025758987,0.562470345359837,0.107511820783581,"not"
"ENSSSCG00000000021",47.1557144716395,-0.0580264740579986,0.153175243877127,-0.378824101005158,0.704818488946159,NA,-0.0580264740579986,"not"
"ENSSSCG00000000022",7867.81734682878,-0.136167744852233,0.0348305094941116,-3.90943878886564,9.2510792500318e-05,0.0099023652213141,-0.136167744852233,"not"
"ENSSSCG00000000024",648.071377049409,-0.273156772913564,0.120059520171865,-2.27517794942493,0.0228952570891927,0.125340347539688,-0.273156772913564,"not"
"ENSSSCG00000000025",310.093846144911,-0.0723337901420295,0.141883407291986,-0.509811481995014,0.610183540795698,0.770471809742716,-0.0723337901420295,"not"
"ENSSSCG00000000026",10485.0637989532,-0.0660164062134707,0.0710050604502815,-0.92974227181591,0.352504542108852,0.5672026512869,-0.0660164062134707,"not"
"ENSSSCG00000000028",98.3703524670535,-0.244201796303049,0.127157594369058,-1.92046568287762,0.0547991038400628,NA,-0.244201796303049,"not"
"ENSSSCG00000000029",1132.53154751266,-0.0848864631514044,0.147472423685242,-0.575609059850959,0.564879455922854,0.737249498529251,-0.0848864631514044,"not"
"ENSSSCG00000000031",1001.86321007676,-0.0824578838597906,0.0719148776517644,-1.14660396502486,0.251545337014534,0.467772692367431,-0.0824578838597906,"not"
"ENSSSCG00000000033",248.122432654761,-0.397825028583826,0.196161187877796,-2.02805168997887,0.0425549727434917,0.173107933631748,-0.397825028583826,"not"
"ENSSSCG00000000034",11564.1900167321,-0.172978675814597,0.0661448835994998,-2.61514823825172,0.00891887373463241,0.0798902518793718,-0.172978675814597,"not"
"ENSSSCG00000000035",2842.78345034165,-0.12892728533965,0.0413294196826292,-3.1195038868121,0.00181155870783441,0.0385876976328298,-0.12892728533965,"not"
"ENSSSCG00000000036",2073.24156671823,-0.0702898286037603,0.0855203563529757,-0.821907573837121,0.411129502091834,0.617580824508388,-0.0702898286037603,"not"
"ENSSSCG00000000037",1132.92576482758,0.0180497985840223,0.0430335359320224,0.419435637650936,0.674897783540296,0.813982942113598,0.0180497985840223,"not"
"ENSSSCG00000000038",4409.81612485225,-0.302882509870057,0.0936218780049147,-3.23516806460726,0.00121571148820428,0.0326380837810896,-0.302882509870057,"not"
"ENSSSCG00000000039",4179.60863308368,-0.0831473365090193,0.0211197202364053,-3.93695255326788,8.25229153871271e-05,0.00950041961239654,-0.0831473365090193,"not"
"ENSSSCG00000000040",12392.5447978082,-0.0284740186672874,0.054610036494267,-0.521406329224421,0.602083743321443,0.764601325177209,-0.0284740186672874,"not"
"ENSSSCG00000000045",2142.95542042469,-0.0660516583511762,0.0660622102754548,-0.99984027291496,0.317387812593236,0.535013308160762,-0.0660516583511762,"not"
"ENSSSCG00000000050",1015.83438884581,-0.0794048067144219,0.0918568426447412,-0.864440845430777,0.387345763042076,0.598241233020522,-0.0794048067144219,"not"
"ENSSSCG00000000058",11475.604741859,-0.0357385829825986,0.0524735207832259,-0.681078426779075,0.495821866814019,0.684924043052017,-0.0357385829825986,"not"
"ENSSSCG00000000059",1162.86371743244,-0.0855178405801523,0.0442185778798583,-1.93397989443496,0.0531155998958925,0.192637686567115,-0.0855178405801523,"not"
"ENSSSCG00000000061",1314.81049542443,-0.237158301799574,0.0599614446839687,-3.95517991685381,7.64770766519628e-05,0.00945158160325353,-0.237158301799574,"not"
"ENSSSCG00000000062",4390.21423175228,-0.246164970706054,0.0962885123086236,-2.55653519619294,0.0105720375393004,0.0864478729498508,-0.246164970706054,"not"
"ENSSSCG00000000063",589.775291362643,-0.0362448154999266,0.0627598896164242,-0.577515603061885,0.563591201359727,0.735940805747573,-0.0362448154999266,"not"
"ENSSSCG00000000064",22486.4213796588,-0.142957909277105,0.0478094524504215,-2.9901599359531,0.00278831409636669,0.0472802681051021,-0.142957909277105,"not"
"ENSSSCG00000000066",1931.13414241785,-0.0438562879074763,0.0371305363384287,-1.1811380128675,0.237547901194474,0.453590132270438,-0.0438562879074763,"not"
"ENSSSCG00000000067",342.917633776687,-0.0857006697128663,0.140435151677123,-0.610250843107303,0.541695654440853,0.721029089488245,-0.0857006697128663,"not"
"ENSSSCG00000000068",3444.9893785455,0.0198128661021775,0.042650192746803,0.464543412964122,0.642258463605537,0.792562762274379,0.0198128661021775,"not"
"ENSSSCG00000000071",12040.6465748821,0.0513284987321153,0.0364326900274003,1.40885832732945,0.158877064002124,0.358321442736327,0.0513284987321153,"not"
"ENSSSCG00000000072",1817.50157709561,0.0342591405581806,0.076162241212954,0.449817915184377,0.652841738925188,0.799599668782431,0.0342591405581806,"not"
"ENSSSCG00000000074",857.491752609587,-0.0184633819438374,0.102095924992295,-0.180843475831487,0.856490436904023,0.924039674645611,-0.0184633819438374,"not"
"ENSSSCG00000000075",729.295921873533,-0.129752232025048,0.0660875137030959,-1.96333958950206,0.0496067282030791,0.186542721433639,-0.129752232025048,"not"
"ENSSSCG00000000076",2885.31093222743,-0.0605104217907324,0.047126743237192,-1.28399328352013,0.199144305499925,0.410553937766362,-0.0605104217907324,"not"
"ENSSSCG00000000077",722.545842638341,-0.0433775088264174,0.0507170468218535,-0.855284594522693,0.392393613969003,0.602251070368132,-0.0433775088264174,"not"
"ENSSSCG00000000078",821.199691649489,0.0832497538079989,0.0745040343863754,1.11738585022481,0.263829382526472,0.480860171577451,0.0832497538079989,"not"
"ENSSSCG00000000082",2694.32635509576,0.111350138244611,0.143692375817612,0.77492029490797,0.438386758998238,0.641911455753331,0.111350138244611,"not"
"ENSSSCG00000000087",2918.48812843547,-0.193823620370248,0.0679800685025639,-2.85118306938655,0.00435568837862407,0.0580235683600493,-0.193823620370248,"not"
"ENSSSCG00000000091",58.7627286981159,0.0397299350889383,0.126363826176355,0.314409085979168,0.753210356186037,NA,0.0397299350889383,"not"
"ENSSSCG00000000092",49660.0685941635,-0.250444750835354,0.0961004013686667,-2.60607393172669,0.00915866905338046,0.0809518299663333,-0.250444750835354,"not"
"ENSSSCG00000000093",685.930647850999,-0.115236254288469,0.0623198215283677,-1.8491107879058,0.0644418169636905,0.214938059124657,-0.115236254288469,"not"
"ENSSSCG00000000094",2567.74283881415,-0.0695976384174977,0.0708672232188413,-0.982085021203341,0.326057964141148,0.542787947910481,-0.0695976384174977,"not"
"ENSSSCG00000000095",2742.43300210448,-0.0973458700527051,0.0407687094870961,-2.38775941837248,0.0169514344397078,0.108658735391331,-0.0973458700527051,"not"
"ENSSSCG00000000097",2050.29488367289,-0.0546593237982756,0.0343560719474875,-1.59096545966667,0.111617349290091,0.291782653291032,-0.0546593237982756,"not"
"ENSSSCG00000000104",13470.593097058,0.0481684901034422,0.0452111446077686,1.06541186960273,0.286689587769801,0.504584637747804,0.0481684901034422,"not"
"ENSSSCG00000000105",128.112352414456,-0.0691146133959768,0.128309437799626,-0.538655726197704,0.590124428325182,NA,-0.0691146133959768,"not"
"ENSSSCG00000000106",3603.95266266716,-0.0703118248638502,0.0836200178952999,-0.840849196563043,0.400432422355622,0.608391019440805,-0.0703118248638502,"not"
"ENSSSCG00000000107",3647.59205605753,-0.0471829435846359,0.0356115376045282,-1.32493418589812,0.185192981067084,0.393760426829155,-0.0471829435846359,"not"
"ENSSSCG00000000108",4624.93238729332,-0.117894525000375,0.0507864674272654,-2.32137675590883,0.0202665189155589,0.118392638001725,-0.117894525000375,"not"
"ENSSSCG00000000110",1181.01981999673,-0.0200878000577319,0.0784508254616368,-0.256055942554168,0.797907640842577,0.892977487411054,-0.0200878000577319,"not"
"ENSSSCG00000000111",469.21079056281,-0.312946794990168,0.0984263935366585,-3.1795007796726,0.00147528972548587,0.0350141517463969,-0.312946794990168,"not"
"ENSSSCG00000000113",25.9144429758553,-0.373013581482052,0.17339634640988,-2.15121938382894,0.0314588877680184,NA,-0.373013581482052,"not"
"ENSSSCG00000000114",2309.65199020914,-0.103610272098109,0.0461047160832631,-2.24728142585226,0.0246220471653588,0.130260516833472,-0.103610272098109,"not"
"ENSSSCG00000000116",2067.89584658585,-0.20866445615546,0.0733898952253128,-2.84323142191229,0.00446586307286862,0.0584873754268881,-0.20866445615546,"not"
"ENSSSCG00000000117",90.7364424955286,-0.0892954078354453,0.101561712299631,-0.879223142398418,0.379280298867112,NA,-0.0892954078354453,"not"
"ENSSSCG00000000118",2241.15606876336,-0.196147084272972,0.0954733220044389,-2.0544700881347,0.0399302155576312,0.167017425475882,-0.196147084272972,"not"
"ENSSSCG00000000119",4959.90508314409,-0.12865170068088,0.056315974457096,-2.28446194745138,0.0223443964914881,0.123651425479364,-0.12865170068088,"not"
"ENSSSCG00000000120",597.825806683468,-0.12194654457769,0.0485269200585574,-2.5129669146638,0.0119720562139796,0.0923302743444373,-0.12194654457769,"not"
"ENSSSCG00000000130",531.555133290928,-0.0688044132096952,0.140111961666514,-0.491067374914495,0.62337879556266,0.779344444937524,-0.0688044132096952,"not"
"ENSSSCG00000000131",3174.30534615303,-0.147829149546169,0.0803402278572058,-1.84003896290805,0.065762517237596,0.217526067669635,-0.147829149546169,"not"
"ENSSSCG00000000133",2122.85062929299,-0.144069223522727,0.0977135725459867,-1.47440339933251,0.140373009746919,0.332840290084368,-0.144069223522727,"not"
"ENSSSCG00000000135",2798.2235433328,-0.0435289975299623,0.08435218035298,-0.516038795296232,0.605827313665203,0.767452726944212,-0.0435289975299623,"not"
"ENSSSCG00000000136",601.659200384167,0.0366755432554568,0.148405383873855,0.247130813573658,0.804806987388232,0.89682932520866,0.0366755432554568,"not"
"ENSSSCG00000000137",403.319159437052,0.0238228053604975,0.0902732714778657,0.263896555098689,0.791859630215331,0.889556538696957,0.0238228053604975,"not"
"ENSSSCG00000000138",1926.47130129562,0.0260173256156415,0.214971464478932,0.121026879910339,0.903669744594126,0.948516514376916,0.0260173256156415,"not"
"ENSSSCG00000000139",247.656182587195,-0.0991284389730142,0.073676735746942,-1.34545101609131,0.178479629807075,0.384690028308433,-0.0991284389730142,"not"
"ENSSSCG00000000141",3982.83405368964,-0.109003839222373,0.0343712927028427,-3.17136280455807,0.00151725518341374,0.0350409812699871,-0.109003839222373,"not"
"ENSSSCG00000000142",1378.37773705707,-0.0721630346297332,0.0529860769387981,-1.36192446768772,0.173221723538209,0.377781071456574,-0.0721630346297332,"not"
"ENSSSCG00000000144",2038.5490510498,-0.139826128952173,0.0437439484907966,-3.19646794073907,0.00139121285791021,0.0345573375142676,-0.139826128952173,"not"
"ENSSSCG00000000145",8007.25194449909,-0.174469349915417,0.0723767228752285,-2.41057266735036,0.015927498066619,0.104510014045071,-0.174469349915417,"not"
"ENSSSCG00000000146",4907.51210188094,-0.805593718610623,0.281727472470137,-2.85947874215929,0.00424337857324782,0.0573506209664324,-0.805593718610623,"not"
"ENSSSCG00000000148",37.3771481640246,-0.214332346517477,0.158888996972623,-1.34894392060645,0.177354979463475,NA,-0.214332346517477,"not"
"ENSSSCG00000000152",5985.68746305162,0.0350787727810088,0.0627787161533003,0.558768559321114,0.576319682486643,0.745910590359081,0.0350787727810088,"not"
"ENSSSCG00000000156",1617.94484385191,-0.0544369937161035,0.0411396493416023,-1.32322454341035,0.185760716324117,0.394316974348361,-0.0544369937161035,"not"
"ENSSSCG00000000157",124.529267575671,0.0912623623907284,0.0968910914714408,0.941906639761908,0.346240440413288,NA,0.0912623623907284,"not"
"ENSSSCG00000000158",2144.98467549097,-0.061210570523726,0.0399762367118423,-1.531173906262,0.125726417955832,0.312526516168459,-0.061210570523726,"not"
"ENSSSCG00000000160",966.151314158551,-0.0192560988003526,0.0396135713389398,-0.486098530112181,0.626897309038477,0.781468912901804,-0.0192560988003526,"not"
"ENSSSCG00000000161",1918.45748344616,0.00675584248426973,0.0542687981680329,0.124488522177174,0.900928487663382,0.947127052568463,0.00675584248426973,"not"
"ENSSSCG00000000162",1702.00202919913,-0.0853608398062366,0.0953765433099514,-0.894987769989041,0.370793625735919,0.583869672071138,-0.0853608398062366,"not"
"ENSSSCG00000000164",655.61892910663,0.101372798491345,0.0525351342287613,1.92961910118899,0.0536540503143983,0.193820469681411,0.101372798491345,"not"
"ENSSSCG00000000167",1721.71854046367,0.256012970654781,0.108498974070359,2.35958886107774,0.0182951986367685,0.112970879172034,0.256012970654781,"not"
"ENSSSCG00000000171",408.387712919332,-0.229827329292608,0.117115544452657,-1.96239816299974,0.049716146477757,0.186579577461658,-0.229827329292608,"not"
"ENSSSCG00000000175",2328.17340507102,-0.10851186525318,0.0715410328521238,-1.51677800734964,0.129322741467544,0.317625723135551,-0.10851186525318,"not"
"ENSSSCG00000000176",2592.19634008691,-0.038829464667368,0.0318942968278505,-1.21744225549006,0.22343599415738,0.438668442520742,-0.038829464667368,"not"
"ENSSSCG00000000179",162.238992122731,0.105324826004632,0.0891504174680823,1.18142829832895,0.237432621824036,0.453575610179773,0.105324826004632,"not"
"ENSSSCG00000000182",122.468980421361,0.0559112291014677,0.0880499737815475,0.634994273140657,0.525432150063265,NA,0.0559112291014677,"not"
"ENSSSCG00000000183",65.5475762126035,-0.178572169220535,0.188841316337208,-0.945620231229822,0.344342321533502,NA,-0.178572169220535,"not"
"ENSSSCG00000000184",34788.7601960567,-0.0631447213202801,0.0872929481487716,-0.723365663084994,0.469455261005699,0.664601773984449,-0.0631447213202801,"not"
"ENSSSCG00000000185",1498.98563533633,-0.0346634014835302,0.0361393686772056,-0.959159021098055,0.337478640948416,0.553245471346982,-0.0346634014835302,"not"
"ENSSSCG00000000186",30.0139238381326,0.156486548995014,0.15216452537962,1.02840362170231,0.303760005608141,NA,0.156486548995014,"not"
"ENSSSCG00000000189",258.041961345012,-0.0877962981712981,0.0903400241619879,-0.971842757246459,0.331128780958431,0.547780935118654,-0.0877962981712981,"not"
"ENSSSCG00000000190",80812.0880519781,-0.154672519171259,0.0500775337513811,-3.08866087413887,0.00201060803796976,0.0403593548057885,-0.154672519171259,"not"
"ENSSSCG00000000194",896.223805291984,-0.233676566769888,0.148755049504788,-1.57088157711491,0.116210158614341,0.298663025503637,-0.233676566769888,"not"
"ENSSSCG00000000195",28.2402273537655,-0.343647498294351,0.210971021889994,-1.62888483553698,0.103337400901759,NA,-0.343647498294351,"not"
"ENSSSCG00000000199",903.256073358133,-0.0174731371183758,0.0840978260463753,-0.207771567231004,0.835407334194708,0.91321522739564,-0.0174731371183758,"not"
"ENSSSCG00000000202",1654.75977072954,-0.106064730602127,0.0380830125174642,-2.7850929742884,0.00535123767598277,0.0629784474250137,-0.106064730602127,"not"
"ENSSSCG00000000203",8471.40771720895,-0.274583089493585,0.0938814618457152,-2.92478497985934,0.00344694304544552,0.0515920499728878,-0.274583089493585,"not"
"ENSSSCG00000000204",1344.36307939443,-0.0883942697989284,0.0486204883303353,-1.81804570119419,0.0690571480268628,0.222882828458605,-0.0883942697989284,"not"
"ENSSSCG00000000205",185.164256519414,-0.0274017470179531,0.0950797298690109,-0.288197569089688,0.773195509471861,0.87774581840767,-0.0274017470179531,"not"
"ENSSSCG00000000206",49202.4768242172,-0.0736348683945395,0.0487572003404483,-1.51023577810831,0.130983272353325,0.319754012278329,-0.0736348683945395,"not"
"ENSSSCG00000000207",39.2678239106308,-0.623791240951343,0.189570321048898,-3.29055327595526,0.000999905654992263,NA,-0.623791240951343,"not"
"ENSSSCG00000000209",964.004077621149,-0.10856887674925,0.0683079882555592,-1.58940234549235,0.111969585413875,0.292213861326165,-0.10856887674925,"not"
"ENSSSCG00000000211",74.4186791430809,-0.251131008467897,0.141431551831244,-1.77563637827821,0.075792869949084,NA,-0.251131008467897,"not"
"ENSSSCG00000000214",1057.59678736247,-0.0275129506972498,0.119233991567198,-0.230747543847377,0.817510935397452,0.903685771334116,-0.0275129506972498,"not"
"ENSSSCG00000000215",2182.52333677977,-0.069841795634982,0.0373258382677274,-1.87113803403495,0.0613259509893237,0.209408460625176,-0.069841795634982,"not"
"ENSSSCG00000000216",2583.48897302341,-0.0646257765375647,0.0652684627291269,-0.990153189385975,0.322099248683835,0.538867067089261,-0.0646257765375647,"not"
