"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","sig"
"ENSSSCG00000000003",4124.46119392892,0.498428487733169,0.102708418239043,4.85284941856597,1.21700097483862e-06,2.12474812105777e-05,0.498428487733169,"not"
"ENSSSCG00000000005",3894.62172641663,0.707634241083329,0.169544045754329,4.17374870308743,2.99628242596688e-05,0.000304344613082006,0.707634241083329,"not"
"ENSSSCG00000000006",1379.7824310133,1.11146660687867,0.215677763852146,5.15336670330381,2.55850956569079e-07,5.81696371722859e-06,1.11146660687867,"not"
"ENSSSCG00000000007",340.230223401283,0.100945344730592,0.108616995709596,0.929369700120269,0.352697524890731,0.488492522529294,0.100945344730592,"not"
"ENSSSCG00000000010",10817.9345355861,-0.161648185457378,0.0978577065634031,-1.65186975184877,0.0985611055201655,0.185829045125674,-0.161648185457378,"not"
"ENSSSCG00000000014",95.8437407111431,0.0190787408064931,0.113168177002905,0.168587506768827,0.866121108053617,0.912171656930947,0.0190787408064931,"not"
"ENSSSCG00000000018",965.268356766462,0.055902688722151,0.0892358164151182,0.626460214832305,0.531013124598538,0.655721907563985,0.055902688722151,"not"
"ENSSSCG00000000019",2423.64785818462,-9.0717950416748e-05,0.0369181118183291,-0.00245727492411213,0.998039380249505,0.998646275585626,-9.0717950416748e-05,"not"
"ENSSSCG00000000021",173.898478495015,0.690800081737985,0.138812675229505,4.97649138017012,6.47471582356329e-07,1.25712624043344e-05,0.690800081737985,"not"
"ENSSSCG00000000022",263.239034750943,0.0624518584764186,0.0861907238578402,0.724577491418037,0.468711271660993,0.601848861668967,0.0624518584764186,"not"
"ENSSSCG00000000024",153.309816097744,0.0945302034094405,0.164494101776322,0.574672297599959,0.565512946254925,0.684543671218375,0.0945302034094405,"not"
"ENSSSCG00000000025",338.803305395051,-0.318149625343159,0.132714746087515,-2.39724397418027,0.0165189206451244,0.0463165955274838,-0.318149625343159,"not"
"ENSSSCG00000000031",530.450423540146,0.140771415632069,0.0724640219609845,1.94263873053944,0.0520598238560327,0.114238293255678,0.140771415632069,"not"
"ENSSSCG00000000033",290.198149059978,-0.344775710080434,0.145482014025369,-2.36988546240714,0.0177935965437885,0.0490057501970945,-0.344775710080434,"not"
"ENSSSCG00000000034",5434.34263126793,0.178240130630637,0.0526784998146389,3.38354606258369,0.00071556203188746,0.0038748081397641,0.178240130630637,"not"
"ENSSSCG00000000035",158.453461552731,-0.20852616374976,0.103021262264161,-2.02410802553622,0.0429590380424917,0.0980771378410268,-0.20852616374976,"not"
"ENSSSCG00000000036",722.817357881575,0.170742437868306,0.0772721814414098,2.2096236275893,0.0271312941108133,0.0682247097755006,0.170742437868306,"not"
"ENSSSCG00000000037",5698.53691379336,0.182686459386468,0.0823103343171954,2.21948387042698,0.0264538233559082,0.0668275054034113,0.182686459386468,"not"
"ENSSSCG00000000038",11520.0127309939,0.0236554066055828,0.0810076109864838,0.292014618349006,0.770275447038066,0.844780970158219,0.0236554066055828,"not"
"ENSSSCG00000000039",2128.25386844221,0.135623416069218,0.0429282716567576,3.15930296830081,0.00158146994113017,0.00724120706262178,0.135623416069218,"not"
"ENSSSCG00000000045",1012.35785760558,-0.113028417065305,0.098332538469089,-1.14945082090844,0.2503701344903,0.379533907235181,-0.113028417065305,"not"
"ENSSSCG00000000046",71145.1493434606,-0.433956393086173,0.134987178318143,-3.21479712734945,0.00130536741667671,0.00621927494503518,-0.433956393086173,"not"
"ENSSSCG00000000050",1190.91549804877,0.0741232671099061,0.0997868424670391,0.742816039443176,0.457593063335532,0.592131631352497,0.0741232671099061,"not"
"ENSSSCG00000000058",1648.62719310577,-0.131745646180474,0.0530979649491451,-2.48118070639156,0.0130947968724706,0.0387806312776609,-0.131745646180474,"not"
"ENSSSCG00000000059",1226.05478408005,0.064300913771553,0.0483598458294214,1.32963438300362,0.183638763871338,0.299408061382499,0.064300913771553,"not"
"ENSSSCG00000000061",3813.86274264112,1.33706049890526,0.313002320668586,4.27172711067842,1.93964848287632e-05,0.000210672711456963,1.33706049890526,"not"
"ENSSSCG00000000062",26.5908276265533,0.0538137470199259,0.287235429389426,0.18735065912418,0.851385705855113,0.902638561432362,0.0538137470199259,"not"
"ENSSSCG00000000063",571.332776718003,0.491324273195689,0.132719322455862,3.70197996873505,0.000213923511166522,0.00147054261148621,0.491324273195689,"not"
"ENSSSCG00000000064",6712.05225538824,0.276828444632049,0.0893084048448733,3.09969084223252,0.00193722731962316,0.00858352757843124,0.276828444632049,"not"
"ENSSSCG00000000066",343.606943789561,0.310686273533954,0.0760760897223689,4.08388857350278,4.42882736028614e-05,0.00041289719101138,0.310686273533954,"not"
"ENSSSCG00000000067",23.7350370069033,-0.0602467859825309,0.299074143062441,-0.201444315331374,0.840351166729135,0.894869985343985,-0.0602467859825309,"not"
"ENSSSCG00000000068",1373.43829102664,0.271941782701642,0.0720943507308192,3.7720262398506,0.000161927222300651,0.0011783360720651,0.271941782701642,"not"
"ENSSSCG00000000071",22092.4528649379,-0.223011271895021,0.066190619584349,-3.36922774398312,0.000753791179125252,0.00402715384821624,-0.223011271895021,"not"
