"","logFC","logCPM","F","PValue","FDR","sig"
"ENSSSCG00000008011",3.57872239130237,-1.11608266886302,27.9478964164474,1.26977897768418e-06,0.0136809217261992,"up"
"ENSSSCG00000012346",3.43909931952303,-2.34561436646632,26.053723228225,1.75203376246736e-06,0.0136809217261992,"up"
"ENSSSCG00000054680",3.20351662479561,-2.09433347469398,25.2802518267927,2.53412973441576e-06,0.0136809217261992,"up"
"ENSSSCG00000001483",2.9439368646024,-1.7538096831964,24.74153329465,3.76817372569316e-06,0.0152573354153316,"up"
"ENSSSCG00000039413",2.74890410629211,-1.23391839809854,23.5710279414043,7.3765404895351e-06,0.0238940899537021,"up"
"ENSSSCG00000009665",3.10606643292454,1.32916408895618,24.3639860456811,8.99669274978351e-06,0.024285072629249,"up"
"ENSSSCG00000015550",2.99313240209399,5.35028638682699,23.7698119981909,1.08855101959597e-05,0.0251859604476805,"up"
"ENSSSCG00000003385",0.20467452532407,7.28964986800592,22.9626392259993,1.45174356047841e-05,0.027581665161265,"not"
"ENSSSCG00000000950",2.75392700395283,1.75654554637917,22.8325051160695,1.53269317394039e-05,0.027581665161265,"up"
"ENSSSCG00000033352",2.94306923201115,1.31753509112908,21.8054061280802,2.23929905432123e-05,0.0362117708562139,"up"
"ENSSSCG00000002449",0.589789099245634,3.55573891127338,21.5102997170026,2.45943121399329e-05,0.0362117708562139,"not"
"ENSSSCG00000001789",4.91998633394424,-2.42676537935898,21.4786287595036,2.82576408095541e-05,0.0381383958792949,"up"
"ENSSSCG00000056654",4.07945430665603,-1.38796524733051,20.0041248985605,3.45659366712211e-05,0.0406477781061044,"up"
"ENSSSCG00000063127",-0.409228599787614,2.29187911325513,20.5460677945311,3.51363851250594e-05,0.0406477781061044,"not"
"ENSSSCG00000009942",4.01679611708896,2.64823358106086,19.7043431522761,4.84575134663494e-05,0.0482992255210547,"up"
"ENSSSCG00000005498",1.79411357804158,0.994151083598406,19.6613637654816,4.91702898081527e-05,0.0482992255210547,"not"
"ENSSSCG00000034846",4.26041994130885,3.38456641567409,19.5821444818454,5.06968902110355e-05,0.0482992255210547,"up"
"ENSSSCG00000057692",-0.698355544220348,-0.251360516403829,19.1762699323716,5.94888620194519e-05,0.0535267560703913,"not"
"ENSSSCG00000025238",4.12615677299335,2.01324156020779,18.8271407618842,6.64151853504143e-05,0.0562234327521423,"not"
"ENSSSCG00000062191",1.34094840986568,4.2701892426412,18.7436336896769,6.94287882837025e-05,0.0562234327521423,"not"
"ENSSSCG00000035669",2.71916199811575,3.31488303014855,18.5806127953776,7.39528863054581e-05,0.0570352831715809,"not"
"ENSSSCG00000058647",3.57798632542309,-3.02921492370047,17.8040225958653,7.90734473221364e-05,0.0582124342195146,"not"
"ENSSSCG00000002494",1.22197254006841,2.91864417604655,18.2393189144467,8.4324493745048e-05,0.0589907831981872,"not"
"ENSSSCG00000036796",1.83676629979032,0.666058916215144,18.1683043325296,8.74153369200107e-05,0.0589907831981872,"not"
"ENSSSCG00000027226",1.42849263715898,2.67791256471914,18.0256529068586,9.16124318542871e-05,0.0593501978524813,"not"
"ENSSSCG00000035347",-3.45809962816937,-3.15349890266967,16.7650887498574,0.000117377949742122,0.0678946064942498,"not"
"ENSSSCG00000015840",-0.212017366251089,2.8193488961552,17.2789782108009,0.000122617754251142,0.0678946064942498,"not"
"ENSSSCG00000037070",1.77149361532521,2.83755641722751,17.2137049326108,0.000125833321381471,0.0678946064942498,"not"
"ENSSSCG00000056742",2.1089017109551,-1.07695649546399,16.9430647400746,0.000129453831314883,0.0678946064942498,"not"
"ENSSSCG00000053432",0.442000161946798,4.82132138941016,16.8617408811562,0.000144544572440227,0.0678946064942498,"not"
"ENSSSCG00000006479",2.21672329430484,-2.77077145736492,15.6907013269136,0.000152767548446665,0.0678946064942498,"not"
"ENSSSCG00000035983",0.73334332094596,4.65978198650614,16.6751489772152,0.00015564732900227,0.0678946064942498,"not"
"ENSSSCG00000034898",0.229013992374005,5.25818901777403,16.6436206860581,0.000157609356972306,0.0678946064942498,"not"
"ENSSSCG00000011246",2.09582149209174,-0.839516685622703,16.5756281709644,0.000159138694910065,0.0678946064942498,"not"
"ENSSSCG00000017589",3.64888658780826,-3.08532122821241,16.2061534886424,0.000165159101399203,0.0678946064942498,"not"
"ENSSSCG00000007426",0.259235373342054,4.04640507661843,16.4750288123088,0.000168550857357962,0.0678946064942498,"not"
"ENSSSCG00000017371",0.222953781105702,4.20301265892252,16.3271804786823,0.000178796558884046,0.0678946064942498,"not"
"ENSSSCG00000023165",0.794885635146698,6.21351601003076,16.2469919395897,0.000184623540534973,0.0678946064942498,"not"
"ENSSSCG00000002461",-0.235599112678541,4.56244666508053,16.2396171269279,0.000185169680066029,0.0678946064942498,"not"
"ENSSSCG00000034984",0.221642304813008,6.1082343558324,16.2010840809087,0.000188048748309304,0.0678946064942498,"not"
"ENSSSCG00000035820",0.292778812593683,3.18260422610284,16.1973719829612,0.000188342110824049,0.0678946064942498,"not"
"ENSSSCG00000038864",1.95529917394931,1.8555101041138,16.1916290471809,0.000188954658931692,0.0678946064942498,"not"
"ENSSSCG00000009486",1.75227722903096,0.894234590073359,16.1643519076068,0.000191851032144901,0.0678946064942498,"not"
"ENSSSCG00000052946",-0.509109481014722,-0.798423687203929,16.180848362327,0.000192848351238491,0.0678946064942498,"not"
"ENSSSCG00000011023",-0.302086390646028,1.77665554919232,16.0780658229103,0.000197626997799226,0.0678946064942498,"not"
"ENSSSCG00000034040",0.192953829018294,4.3155669631515,15.9943266150532,0.000204318362720914,0.0678946064942498,"not"
"ENSSSCG00000032062",0.165009513078063,3.64062900064422,15.9700735658434,0.000206329659551198,0.0678946064942498,"not"
"ENSSSCG00000039984",2.5078651179522,3.30598080527796,15.9459425532203,0.000208396824471488,0.0678946064942498,"not"
"ENSSSCG00000013588",0.760209360524207,6.66223653302026,15.933733751893,0.000209359270538127,0.0678946064942498,"not"
"ENSSSCG00000057454",-0.248925803827802,3.27337812299556,15.9310098153921,0.000209603008441127,0.0678946064942498,"not"
"ENSSSCG00000035227",1.60750418791355,-1.57628371530487,15.7326714692581,0.000215052726739458,0.0682939992602404,"not"
"ENSSSCG00000014062",-0.248864658831276,1.56651382049326,15.7150090322695,0.000228765613157756,0.0704829828313556,"not"
"ENSSSCG00000056337",1.89209569848738,0.715778959136526,15.7086537834608,0.00023079577497479,0.0704829828313556,"not"
"ENSSSCG00000035495",1.0225994252724,4.70925675055559,15.56366026992,0.000243107150211708,0.0704829828313556,"not"
"ENSSSCG00000003850",0.185598391478531,4.37095387522844,15.5394794038446,0.000245501029111758,0.0704829828313556,"not"
"ENSSSCG00000057748",-0.289492753708916,2.28261284075713,15.4601138691121,0.00025357575956242,0.0704829828313556,"not"
"ENSSSCG00000039782",0.167077074313217,5.02542507950085,15.4356512393966,0.000256063808821663,0.0704829828313556,"not"
"ENSSSCG00000001080",0.176424903558804,2.86174962561628,15.2612804116068,0.000274907213496665,0.0704829828313556,"not"
"ENSSSCG00000034019",0.267081210944289,6.2373936631053,15.2595572431308,0.000275078297504658,0.0704829828313556,"not"
"ENSSSCG00000021363",-0.230083996196338,8.4251949844473,15.2240066952863,0.000279092830572361,0.0704829828313556,"not"
"ENSSSCG00000044483",-0.450425394666347,2.37548994996597,15.2214361267284,0.000279428496660412,0.0704829828313556,"not"
"ENSSSCG00000015384",0.364595569043548,4.31479172746496,15.2044849457604,0.00028132406920372,0.0704829828313556,"not"
"ENSSSCG00000006852",1.66455920965948,4.49655807753425,15.1972672996453,0.00028216081072897,0.0704829828313556,"not"
"ENSSSCG00000016403",1.30613321211051,2.16937716368698,15.1963769507372,0.000282359291023817,0.0704829828313556,"not"
"ENSSSCG00000015356",1.46103415544051,1.2114126485685,15.1947112079066,0.000282871936529891,0.0704829828313556,"not"
"ENSSSCG00000005029",0.182321508046336,4.80704410918194,15.1202623946452,0.000291162421729224,0.0706719967476031,"not"
"ENSSSCG00000005607",-0.179187043192539,5.26213644077451,15.0901679690249,0.000294764446643014,0.0706719967476031,"not"
"ENSSSCG00000001944",1.53155944645727,-1.48610628446863,14.9940047091974,0.000297367684096246,0.0706719967476031,"not"
"ENSSSCG00000003903",0.283388162260106,6.16723806929113,15.0382816133457,0.000301084698418413,0.0706719967476031,"not"
"ENSSSCG00000024254",0.21780005799273,3.57874354489601,14.933326124331,0.000314319661415601,0.0727245890898152,"not"
"ENSSSCG00000003013",0.218722814165734,2.45938235097558,14.8336331885834,0.000327469847987145,0.0739509999915734,"not"
"ENSSSCG00000006166",0.215014734493414,5.87937299166572,14.8017764292928,0.000331740336786593,0.0739509999915734,"not"
"ENSSSCG00000007743",0.139618553447392,6.34804639269349,14.7866766085844,0.000333805122378804,0.0739509999915734,"not"
"ENSSSCG00000037606",0.217281083940415,4.93849909142614,14.7555229153815,0.000338108099411616,0.0739509999915734,"not"
"ENSSSCG00000038184",1.55771714418323,0.460468352428862,14.7083669519621,0.000346623304986902,0.0739509999915734,"not"
"ENSSSCG00000003849",0.265370500130935,2.64224056572869,14.6810172919369,0.000348669389206552,0.0739509999915734,"not"
"ENSSSCG00000038882",0.153290102010768,4.30076062375746,14.6455734617691,0.000353762988101933,0.0739509999915734,"not"
"ENSSSCG00000053497",-0.589018870166889,-0.426084511992506,14.6293953472269,0.000359302193749605,0.0739509999915734,"not"
"ENSSSCG00000010861",0.115571930797123,5.33806288782196,14.5725790692707,0.000364572104062938,0.0739509999915734,"not"
"ENSSSCG00000060801",1.0937242762588,-0.225043898980125,14.5685128356693,0.000368495704288406,0.0739509999915734,"not"
"ENSSSCG00000032390",0.390839939081135,5.10258411263192,14.5377819288166,0.000369846320036889,0.0739509999915734,"not"
"ENSSSCG00000010765",0.471621813007727,5.75709904427723,14.4132415675368,0.000389385369539389,0.0764794486065694,"not"
"ENSSSCG00000009906",0.227478046054842,4.78728287823709,14.3609894093895,0.000397902205940831,0.0764794486065694,"not"
"ENSSSCG00000024019",0.215015070587253,3.65624683588576,14.3280229423802,0.000403388747485791,0.0764794486065694,"not"
"ENSSSCG00000033585",0.344888432775622,1.1912698734859,14.3052723505699,0.000407469046169809,0.0764794486065694,"not"
"ENSSSCG00000047413",-0.566986652271581,2.72764110545159,14.2890632015425,0.000409982028028629,0.0764794486065694,"not"
"ENSSSCG00000013524",0.292513994251142,4.33486004300224,14.2839012696544,0.000410824402863148,0.0764794486065694,"not"
"ENSSSCG00000036075",0.264490215603938,2.96181138389796,14.2219015630035,0.000421562350560341,0.0775866344281282,"not"
"ENSSSCG00000036722",0.189170591362507,3.67357135196934,14.1429069517871,0.000435619490524911,0.0792729580734996,"not"
"ENSSSCG00000035216",-0.52411679115609,3.70529481791941,14.0672134215097,0.000449563495982988,0.0809014486771164,"not"
"ENSSSCG00000017288",0.163068107750943,4.42437706794186,14.0233178026429,0.000457850200633598,0.0814872730710084,"not"
"ENSSSCG00000014881",0.135481569425734,5.41955977412167,13.9748076108635,0.000467208391757979,0.0822489903577416,"not"
"ENSSSCG00000034814",0.160374455697422,3.51016598762716,13.8735383832841,0.00048741780278733,0.0848840724079957,"not"
"ENSSSCG00000016086",-0.41869987189946,5.09879792388099,13.7701871252765,0.000508942445996631,0.0858650455041893,"not"
