"","logFC","logCPM","F","PValue","FDR","sig"
"ENSSSCG00000000932",5.13584201892758,1.70074905286484,33.9605717600511,2.39422500994008e-07,0.0038276475233912,"up"
"ENSSSCG00000002729",-0.202170795111332,5.53644615051914,28.1796709953313,2.28755317957562e-06,0.0144869053049472,"not"
"ENSSSCG00000005904",-0.201987290593628,6.68417364871476,27.245697917571,3.13547920373217e-06,0.0144869053049472,"not"
"ENSSSCG00000025293",0.232177331262433,5.94397351873311,26.0214206291561,4.7695462317358e-06,0.0144869053049472,"not"
"ENSSSCG00000015048",4.34514817568975,2.09222431139867,24.5628472859643,5.01002209172389e-06,0.0144869053049472,"up"
"ENSSSCG00000024413",-0.204706639306537,8.94472729038625,25.5915644096255,5.53578336134794e-06,0.0144869053049472,"not"
"ENSSSCG00000001972",0.264415142186158,5.20680180729687,25.0295138243713,6.73558384796778e-06,0.0144869053049472,"not"
"ENSSSCG00000034846",-5.69616337567441,5.57486959795737,24.5971187095064,7.89332494653945e-06,0.0144869053049472,"down"
"ENSSSCG00000014946",0.288177850539906,3.75354192783153,24.4860919341365,8.15551058638423e-06,0.0144869053049472,"not"
"ENSSSCG00000001483",2.7046397479001,-1.65834051087563,22.2229085554752,9.99535940398836e-06,0.0156785423539857,"up"
"ENSSSCG00000013322",0.328002205341805,3.01944878838139,23.4409861253519,1.18306262796409e-05,0.0156785423539857,"not"
"ENSSSCG00000007941",-0.183758176721081,7.13745057528232,23.4249984951788,1.18958097725781e-05,0.0156785423539857,"not"
"ENSSSCG00000007585",-0.204273099527884,9.39360122953676,22.9494956790586,1.41161367277484e-05,0.0156785423539857,"not"
"ENSSSCG00000016843",0.260171110743491,3.45860486577452,22.81915360191,1.47992124740665e-05,0.0156785423539857,"not"
"ENSSSCG00000011699",0.17739523417502,4.48701112154723,22.7014531797635,1.54419774580469e-05,0.0156785423539857,"not"
"ENSSSCG00000010226",0.20964752455263,5.6148184174053,22.6572293023854,1.56912915283525e-05,0.0156785423539857,"not"
"ENSSSCG00000001821",-0.226956496279525,5.81769487732735,21.9111460735549,2.05992872732442e-05,0.0187319647435492,"not"
"ENSSSCG00000003134",-0.19910105831025,4.68059930938714,21.7746867941819,2.16579615856884e-05,0.0187319647435492,"not"
"ENSSSCG00000006726",3.2790516290263,-2.46291535018403,20.3988262502115,2.22622962486668e-05,0.0187319647435492,"up"
"ENSSSCG00000032031",-0.152437881686952,5.88061758174601,21.2807627552161,2.59873759150806e-05,0.0191213777737296,"not"
"ENSSSCG00000011684",0.236977115325276,5.64229632745366,21.2356101406285,2.64257880462521e-05,0.0191213777737296,"not"
"ENSSSCG00000039283",4.28676666815523,0.735599253268357,20.6029898057301,2.94398065894742e-05,0.0191213777737296,"up"
"ENSSSCG00000001773",-0.25710967337829,3.6972263567878,20.7952733617307,3.11307411663055e-05,0.0191213777737296,"not"
"ENSSSCG00000030425",-0.236854220208857,5.18653095302685,20.7031486271632,3.22171809786769e-05,0.0191213777737296,"not"
"ENSSSCG00000011770",0.301611433262728,3.76835396970101,20.6494317487729,3.287378113245e-05,0.0191213777737296,"not"
"ENSSSCG00000007978",-1.5119562077199,6.17327362208731,20.5732083551112,3.38217979264344e-05,0.0191213777737296,"not"
"ENSSSCG00000007275",-0.171333953421027,6.42416490112207,20.5295541486117,3.43793599917866e-05,0.0191213777737296,"not"
"ENSSSCG00000040562",0.641763107100287,0.960438514072069,20.4764357646872,3.5150567493219e-05,0.0191213777737296,"not"
"ENSSSCG00000014082",0.20546235912995,3.67763184464715,20.4565557607766,3.53367718424452e-05,0.0191213777737296,"not"
"ENSSSCG00000029799",0.17351159922993,3.82731841767581,20.4157524471093,3.58817372372483e-05,0.0191213777737296,"not"
"ENSSSCG00000036220",-0.411896988459592,8.97099456980258,20.242499558835,3.82926774751784e-05,0.0194586253410151,"not"
"ENSSSCG00000003263",-0.138784160117655,5.62989914720946,20.0808545830552,4.0698032061313e-05,0.0194586253410151,"not"
"ENSSSCG00000008406",0.262699576531811,6.92349769769121,20.0568115893819,4.10689775520436e-05,0.0194586253410151,"not"
"ENSSSCG00000007763",-0.153961160348728,5.71320367566914,20.0320626773984,4.14545847040232e-05,0.0194586253410151,"not"
"ENSSSCG00000011405",-0.195729009419964,6.40349977942013,19.8334315749097,4.46890130081702e-05,0.0194586253410151,"not"
"ENSSSCG00000038383",0.310961324330865,2.87908153282128,19.7727252404706,4.57387670814801e-05,0.0194586253410151,"not"
"ENSSSCG00000030421",-0.163931701527923,9.49741823268088,19.7639396973506,4.58817602043549e-05,0.0194586253410151,"not"
"ENSSSCG00000013017",-0.265811845923192,5.94944595121589,19.7427643090222,4.62518147844231e-05,0.0194586253410151,"not"
"ENSSSCG00000023968",0.419462114617824,1.86325535751952,19.5828998806401,4.91786351615526e-05,0.020159457444301,"not"
"ENSSSCG00000036192",-0.144464505145598,4.75403188564199,19.4805562043776,5.11003036172092e-05,0.0204235138482081,"not"
"ENSSSCG00000062074",-2.80346314021089,1.38906137572306,19.390859806008,5.3578828387032e-05,0.0208918226688654,"down"
"ENSSSCG00000007981",-0.177297241715661,4.67325052759186,19.2246362937647,5.63448439585322e-05,0.020977013435328,"not"
"ENSSSCG00000036132",-2.35533745480733,-0.564080271397933,18.7379385006777,5.78578749278776e-05,0.020977013435328,"down"
"ENSSSCG00000009119",0.267924872013311,4.00512639462432,18.9623389803528,6.23093913703227e-05,0.020977013435328,"not"
