"","logFC","logCPM","F","PValue","FDR","sig"
"ENSSSCG00000021018",3.59447918301912,-0.178042722299151,35.6306938566719,1.53941481189755e-07,0.000832113780876971,"up"
"ENSSSCG00000034102",1.93104880582093,5.31053773326944,35.8030120678052,2.05497554997966e-07,0.000832113780876971,"not"
"ENSSSCG00000014124",2.86386354630164,4.14453624744707,35.6534372065156,2.15136805492186e-07,0.000832113780876971,"up"
"ENSSSCG00000055661",3.17613028185126,1.35976464091285,35.1644324610901,2.58105055348161e-07,0.000832113780876971,"up"
"ENSSSCG00000003778",3.75827643805137,-1.09772397015298,31.1836003729184,3.093169465387e-07,0.000832113780876971,"up"
"ENSSSCG00000017909",2.68730500119029,2.27011249908971,34.4607510370504,3.11186903843295e-07,0.000832113780876971,"up"
"ENSSSCG00000004873",2.10039332770831,1.20904996310637,33.3421490776719,4.43171549034722e-07,0.000903547861131793,"up"
"ENSSSCG00000022744",2.89540448535219,-1.05629696468553,31.5867821201171,4.76207456547335e-07,0.000903547861131793,"up"
"ENSSSCG00000016883",3.87991051538198,-0.51531165487961,30.8839806486899,5.06851829355905e-07,0.000903547861131793,"up"
"ENSSSCG00000060746",3.10128715830798,-0.69468420175468,30.9669719679347,6.81270319464611e-07,0.000985668409007477,"up"
"ENSSSCG00000011793",3.15635332298318,-1.66065027100426,28.8135148298821,7.30124427884308e-07,0.000985668409007477,"up"
"ENSSSCG00000023592",3.70933245842723,6.09087883575896,30.8840833424345,9.5791810450324e-07,0.000985668409007477,"up"
"ENSSSCG00000025500",1.11411253798654,3.44385248977619,30.735919447511,1.0050048962753e-06,0.000985668409007477,"not"
"ENSSSCG00000056015",2.22856608079472,4.11224118971032,30.2323527524318,1.18335053828579e-06,0.000985668409007477,"up"
"ENSSSCG00000010139",-0.938070017594812,-0.458666901570673,30.2880397773583,1.2045067618979e-06,0.000985668409007477,"not"
"ENSSSCG00000040789",2.46951073981232,4.4302998560002,29.761532125731,1.37996649936777e-06,0.000985668409007477,"up"
"ENSSSCG00000023322",1.7702706144156,2.22787579822042,29.5984275960702,1.45745913116919e-06,0.000985668409007477,"not"
"ENSSSCG00000054079",2.63324364565223,-0.855244462879733,29.0782945210579,1.46604628947905e-06,0.000985668409007477,"up"
"ENSSSCG00000025286",1.96328309126745,6.04988491379558,29.4824055364507,1.51206210329818e-06,0.000985668409007477,"not"
"ENSSSCG00000013339",2.19609374360125,7.3028275922459,29.2885936456749,1.6116678558825e-06,0.000985668409007477,"up"
"ENSSSCG00000014428",2.1485772380758,2.65415680789235,29.2918836622811,1.611687765413e-06,0.000985668409007477,"up"
"ENSSSCG00000003758",2.82711327723435,1.48175068289442,29.329307724848,1.6143066388837e-06,0.000985668409007477,"up"
"ENSSSCG00000013386",1.08600367839547,3.18411368357405,28.9833649268741,1.78310060273047e-06,0.000985668409007477,"not"
"ENSSSCG00000026067",2.75680579697163,-1.69110220102425,26.8294380187514,1.80160268553605e-06,0.000985668409007477,"up"
"ENSSSCG00000011850",3.3121779950976,-0.0545267091580822,28.3208495250335,1.9933526340446e-06,0.000985668409007477,"up"
"ENSSSCG00000058790",1.57214438837776,3.03241054366012,28.5949939219568,2.02863836668838e-06,0.000985668409007477,"not"
"ENSSSCG00000037110",2.40117843126385,7.14891304302639,28.5332222258509,2.06989029429657e-06,0.000985668409007477,"up"
"ENSSSCG00000016567",1.67489698031198,6.20555775248757,28.2686322648134,2.26086248266413e-06,0.000985668409007477,"not"
"ENSSSCG00000024377",1.73680772024755,5.05026429478839,28.0903213628515,2.39993924540613e-06,0.000985668409007477,"not"
"ENSSSCG00000033149",0.338074410547829,3.90885581336626,27.9534549700302,2.51274188594913e-06,0.000985668409007477,"not"
"ENSSSCG00000015497",0.678055686991972,4.70569430640105,27.9214115130601,2.53968795822313e-06,0.000985668409007477,"not"
"ENSSSCG00000004027",2.26899719067783,5.56203773774251,27.9093803770579,2.55003654752404e-06,0.000985668409007477,"up"
"ENSSSCG00000042189",1.92795495152322,-1.25012140559159,27.5645145637572,2.58073200982377e-06,0.000985668409007477,"not"
"ENSSSCG00000031874",2.76957641171933,3.58888227479152,27.8134747175134,2.6350173014733e-06,0.000985668409007477,"up"
"ENSSSCG00000013318",1.4818632910385,4.9757079788012,27.7834593457342,2.66023771888993e-06,0.000985668409007477,"not"
"ENSSSCG00000027952",1.84213798014465,8.39230662297982,27.6932882787641,2.74213635208046e-06,0.000985668409007477,"not"
"ENSSSCG00000011963",1.14860872420371,7.1725004311691,27.6268475002191,2.80420960656424e-06,0.000985668409007477,"not"
"ENSSSCG00000010687",1.75467907057874,9.93420924416375,27.6148828827734,2.81554144256829e-06,0.000985668409007477,"not"
"ENSSSCG00000004475",2.11383717701921,3.2324134593197,27.5112126991239,2.91708731468717e-06,0.000985668409007477,"up"
"ENSSSCG00000013088",2.92895618226565,4.69267237347375,27.5070865172773,2.92039815863509e-06,0.000985668409007477,"up"
"ENSSSCG00000032664",1.88079909475422,9.38964253245991,27.5016444058202,2.92518686802092e-06,0.000985668409007477,"not"
"ENSSSCG00000021122",3.86751209091851,2.13687813626327,27.5403444737945,2.94558277340299e-06,0.000985668409007477,"up"
"ENSSSCG00000023582",2.10188414374745,2.30538647381257,27.4503428659161,2.98085345931715e-06,0.000985668409007477,"up"
"ENSSSCG00000015276",1.99055639209547,4.08256350614439,27.408072417628,3.01960416619357e-06,0.000985668409007477,"not"
"ENSSSCG00000009062",2.35597679140673,3.31483083805921,27.3946983318926,3.03452594349103e-06,0.000985668409007477,"up"
"ENSSSCG00000039249",1.05700621442229,7.15636790350279,27.3657974504946,3.06261183594551e-06,0.000985668409007477,"not"
"ENSSSCG00000062462",1.31662763124575,5.10900794996342,27.3377057817729,3.09187256244769e-06,0.000985668409007477,"not"
"ENSSSCG00000000943",2.41945608126816,3.43037587641416,27.3020801679362,3.13084194193852e-06,0.000985668409007477,"up"
"ENSSSCG00000054953",1.97362109471831,3.39680323693542,27.2479090439324,3.18838045012932e-06,0.000985668409007477,"not"
