"","logFC","logCPM","F","PValue","FDR","sig"
"ENSSSCG00000001424",0.561954619479865,4.36722376848643,78.0265359568899,4.83710977309305e-12,2.02378536936774e-08,"not"
"ENSSSCG00000017882",0.698777094398204,6.1068157994114,76.9477151833731,6.04717746113426e-12,2.02378536936774e-08,"not"
"ENSSSCG00000021289",0.565260483407114,4.86252078368498,76.5657065499995,6.54782331870058e-12,2.02378536936774e-08,"not"
"ENSSSCG00000040624",0.644337168948199,3.5355748104883,76.4593458280338,6.69726476135348e-12,2.02378536936774e-08,"not"
"ENSSSCG00000001409",0.720555009051497,5.88041957377625,75.7988028514613,7.68681772017525e-12,2.02378536936774e-08,"not"
"ENSSSCG00000013900",0.708332896915046,4.10112032331404,71.4905440819464,1.9281238162396e-11,3.66850389952963e-08,"not"
"ENSSSCG00000008000",0.638875374228417,2.90179395989656,71.4396710724107,1.95073893168546e-11,3.66850389952963e-08,"not"
"ENSSSCG00000002544",0.547863456326114,3.7349620401417,70.2101366365001,2.55005649941454e-11,4.19611796978663e-08,"not"
"ENSSSCG00000005711",0.514867384706812,4.27447233879865,69.0586278060607,3.28638660900979e-11,4.79501941588027e-08,"not"
"ENSSSCG00000008697",0.638377257280735,4.673982061236,68.5949586718295,3.64252462464317e-11,4.79501941588027e-08,"not"
"ENSSSCG00000005671",1.24381789953747,7.59164348343406,68.1265673676277,4.04318110939475e-11,4.83858510218841e-08,"not"
"ENSSSCG00000013836",0.634149131782328,4.4523789925872,67.0697950186311,5.12469525243771e-11,5.62179069192417e-08,"not"
"ENSSSCG00000024791",-0.586067553125547,4.70226206278504,65.0561398787048,8.09801771787344e-11,8.20017732600662e-08,"not"
"ENSSSCG00000011137",0.51300399076202,8.26078245238043,62.6626213551955,1.40969008152852e-10,1.26352256752138e-07,"not"
"ENSSSCG00000024127",-0.351982741257148,4.84856441541218,62.2268218253956,1.56138111601656e-10,1.26352256752138e-07,"not"
"ENSSSCG00000002729",0.458429722963506,3.99985372968698,62.1706053195891,1.5823855387442e-10,1.26352256752138e-07,"not"
"ENSSSCG00000013475",0.871477360025981,6.33755010704828,61.7794980122679,1.73475951650226e-10,1.26352256752138e-07,"not"
"ENSSSCG00000036686",-0.400563892198338,4.10771304309225,61.6961612246634,1.76934115343934e-10,1.26352256752138e-07,"not"
"ENSSSCG00000029627",0.599462520883844,3.51947622391049,61.5690940785501,1.82368039979537e-10,1.26352256752138e-07,"not"
"ENSSSCG00000017139",0.798124812491843,4.50377048002566,61.2975640115463,1.94416014654914e-10,1.27964620845864e-07,"not"
"ENSSSCG00000007466",0.725563131877156,3.61094073444018,60.8140234028157,2.18119163211709e-10,1.31564877094271e-07,"not"
"ENSSSCG00000005319",0.572108401619747,5.0514940346925,60.6512587238787,2.26675667823823e-10,1.31564877094271e-07,"not"
"ENSSSCG00000039466",0.500059631214821,2.92501352511669,60.5952147408542,2.29868746062612e-10,1.31564877094271e-07,"not"
"ENSSSCG00000003637",0.67704495865871,4.97606820957364,60.0356147066719,2.62597091592415e-10,1.37095369215713e-07,"not"
"ENSSSCG00000021236",1.00621899257316,4.52519066831753,60.0053746579218,2.64526187017496e-10,1.37095369215713e-07,"not"
"ENSSSCG00000008675",0.672980495868819,5.06469055305729,59.7521176056237,2.81078279188827e-10,1.37095369215713e-07,"not"
"ENSSSCG00000040738",0.784836014404655,5.57506320675088,59.7292510857942,2.82625601955562e-10,1.37095369215713e-07,"not"
"ENSSSCG00000016379",0.663450178163148,7.97908956409333,59.5991548312484,2.91603641601335e-10,1.37095369215713e-07,"not"
"ENSSSCG00000039843",0.354335394454607,4.93964749195815,59.3471055282091,3.09854657756521e-10,1.40652645334719e-07,"not"
"ENSSSCG00000052416",1.25677642033845,1.83835560460509,58.9860205244095,3.39170865282711e-10,1.48828175686054e-07,"not"
"ENSSSCG00000039740",0.680215643606052,6.04123592846857,58.8272653946909,3.51331350199971e-10,1.49191157872014e-07,"not"
"ENSSSCG00000004328",0.881428918047077,2.85596080530732,58.3182138982319,3.97842428683085e-10,1.63662429099504e-07,"not"
"ENSSSCG00000023400",0.561297467944732,3.45020573309559,57.8315998849144,4.47803080613839e-10,1.78632719793957e-07,"not"
"ENSSSCG00000003923",0.475794697261775,4.72347846381356,57.3725622954938,5.00950086093933e-10,1.89054142939117e-07,"not"
"ENSSSCG00000027407",0.582057619028272,7.14183060963794,57.3587173489066,5.02650790251376e-10,1.89054142939117e-07,"not"
"ENSSSCG00000007924",0.4917064691563,4.58143087762005,57.1189606151423,5.3317654139689e-10,1.94964888637463e-07,"not"
"ENSSSCG00000010990",0.723764742071035,2.62595640013931,56.1896290938437,6.71398898397444e-10,2.28108655193492e-07,"not"
"ENSSSCG00000048855",0.988731013631451,4.15556023864843,56.1857422179795,6.71603712904806e-10,2.28108655193492e-07,"not"
"ENSSSCG00000006651",1.2120614820451,6.39569443588264,56.1599769338897,6.75800482569599e-10,2.28108655193492e-07,"not"
"ENSSSCG00000007992",0.531280970737204,4.19787580798592,55.9450096111064,7.12943238578447e-10,2.34629619816167e-07,"not"
"ENSSSCG00000024895",0.476315602890545,4.22747463099921,55.7732752446085,7.44078361492025e-10,2.37864226039353e-07,"not"
"ENSSSCG00000035854",0.564551424570647,3.29620833933829,55.6953904497845,7.58910475057189e-10,2.37864226039353e-07,"not"
"ENSSSCG00000038807",0.642509253363282,3.84222453306015,55.474871825001,8.0172047502775e-10,2.45438333331751e-07,"not"
"ENSSSCG00000030255",0.740680625994523,7.22420433847206,55.2106699010007,8.56350595483039e-10,2.56204528157698e-07,"not"
"ENSSSCG00000024665",0.479382559000206,3.98556608993935,54.2499621846653,1.09075186748022e-09,3.15595375833873e-07,"not"
"ENSSSCG00000003199",0.654022124008442,5.8559441603419,54.2059594931539,1.10280973020041e-09,3.15595375833873e-07,"not"
"ENSSSCG00000025545",0.576809378924287,4.38223636802871,53.9752692677881,1.16919217170284e-09,3.23708241597043e-07,"not"
"ENSSSCG00000012983",0.642229354446417,3.81025659673999,53.9384732612252,1.18033998759177e-09,3.23708241597043e-07,"not"
"ENSSSCG00000012793",0.629238753604032,4.60614249624186,53.8322062869117,1.21238649510198e-09,3.25711343296376e-07,"not"
"ENSSSCG00000017069",0.607796750587807,5.47954869655666,53.7379303617056,1.24174842885104e-09,3.26927526347901e-07,"not"
"ENSSSCG00000008692",0.314225288653439,5.67912625277812,53.6077122246836,1.28354784762839e-09,3.31306350317258e-07,"not"
"ENSSSCG00000022317",0.726990728623815,5.96539787565447,52.9823171158328,1.50564156676683e-09,3.68392127580965e-07,"not"
"ENSSSCG00000001410",0.470676088772651,5.976249071509,52.963061429891,1.51308097128038e-09,3.68392127580965e-07,"not"
"ENSSSCG00000013457",0.741244597582366,2.56070637232525,52.9497339512391,1.51957586727642e-09,3.68392127580965e-07,"not"
"ENSSSCG00000005640",0.537569832046659,3.1644246500099,52.8615582817396,1.55355513746768e-09,3.68392127580965e-07,"not"
