"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"ENSSSCG00000000003",0.0158026211369523,3.26703890144348,0.186790580169991,0.852545788612084,0.929820556122624,-5.90975474272346,"not"
"ENSSSCG00000000005",-0.150396261733241,3.63833746447396,-2.0207378026665,0.0484277970297527,0.226010971887791,-4.11016709880852,"not"
"ENSSSCG00000000006",-0.0335231774313192,2.68388040101144,-0.292317639041813,0.771197497760806,0.885863178741087,-5.78061821979661,"not"
"ENSSSCG00000000007",-0.0631810641275374,3.32947174937741,-0.795112897759238,0.430132871953181,0.666137191118426,-5.63856969092344,"not"
"ENSSSCG00000000010",-0.414136950678408,5.14682641091995,-1.71948166216998,0.0914260923057676,0.306807081799393,-4.73587264198,"not"
"ENSSSCG00000000014",0.100235473208151,3.73324754592532,1.5714402752917,0.122096660062035,0.356196953359809,-4.84481719835134,"not"
"ENSSSCG00000000018",-0.0349919271608593,7.26086667992731,-0.57014093872674,0.571017469263946,0.769523415756782,-5.95329486979378,"not"
"ENSSSCG00000000019",0.0227395357988532,6.04988498405084,0.409701489855524,0.683694173017648,0.836795187875757,-6.06644519411747,"not"
"ENSSSCG00000000020",0.147053318318616,1.98482646343664,1.3190339435782,0.192890151901534,0.449292640927921,-4.91572170079841,"not"
"ENSSSCG00000000021",-0.138273352737752,-0.263314536906959,-0.850052821287538,0.399161136220587,0.64328518999582,-4.98276265669569,"not"
"ENSSSCG00000000022",-0.128567111820117,7.1965088688372,-3.5470849718931,0.000830407680074643,0.0485426889960677,-0.672946624919444,"not"
"ENSSSCG00000000024",-0.299118636979642,3.53169049072912,-2.52475867902111,0.0146411722576684,0.132796254457053,-3.11057965145598,"not"
"ENSSSCG00000000025",-0.0260823878061774,2.44818380282583,-0.196211680972173,0.845203069732602,0.926305843092692,-5.75835258679067,"not"
"ENSSSCG00000000026",-0.0454526243583054,7.59521634923119,-0.632079363241192,0.530081890546402,0.741224454138488,-5.9062188842425,"not"
"ENSSSCG00000000028",-0.201345324634413,0.811097232582013,-1.44298224953222,0.154974001621714,0.402687705153778,-4.60678451339315,"not"
