"","logFC","AveExpr","t","P.Value","adj.P.Val","B","sig"
"ENSSSCG00000000003",0.149071621006379,3.37259970918588,2.07231061007738,0.0432078511916948,0.115211361894557,-4.35739353493696,"not"
"ENSSSCG00000000005",-0.0470691294823223,3.65476098977741,-0.589783332780241,0.557888286287103,0.686092263160378,-6.26860481505885,"not"
"ENSSSCG00000000006",-0.259137754563841,2.54082153213842,-1.89053217759995,0.0642612037168804,0.151019005776129,-4.56377796379543,"not"
"ENSSSCG00000000007",-0.197065621487244,3.11434668305959,-2.1530054830427,0.035974598535335,0.101830709050973,-4.16699593740862,"not"
"ENSSSCG00000000010",-0.418082177524257,4.97918653974939,-2.071637696641,0.0432731389535153,0.115345131309618,-4.50089579791631,"not"
"ENSSSCG00000000014",-0.00360095959932638,3.56622306673836,-0.0507713617165185,0.959702104077877,0.976916589052008,-6.42776731426489,"not"
"ENSSSCG00000000018",0.0569211665255632,7.20639031941886,0.78259684863842,0.437410924196722,0.58095690668325,-6.22159797689996,"not"
"ENSSSCG00000000019",0.0728761022807984,5.84889129932134,1.62288331575082,0.110657973787515,0.220765547307498,-5.29291970626499,"not"
"ENSSSCG00000000020",-0.137318568157647,1.94212781721304,-0.954317956543647,0.344335092531512,0.492862171824103,-5.70382848281106,"not"
"ENSSSCG00000000021",-0.677973252373556,-0.68243904020888,-2.67030354070702,0.0100881879383642,0.0440781283450748,-2.67806925068558,"not"
"ENSSSCG00000000022",-0.192142773391005,7.0977834844838,-3.35637684382134,0.00148143414115006,0.0155144447523574,-1.45290902495824,"not"
"ENSSSCG00000000024",-0.275179001545595,3.47717858080073,-2.24413153259368,0.0291035230008354,0.0878691989133239,-4.03301209317044,"not"
"ENSSSCG00000000025",0.0860621725744566,2.69244369023108,0.695440715795165,0.489873352256124,0.628115166172533,-6.05222755133823,"not"
"ENSSSCG00000000026",-0.0418059350172488,7.41911844636788,-0.580258907480805,0.564244414232812,0.691259726783082,-6.34833575983934,"not"
"ENSSSCG00000000028",-0.304055628749609,0.629683152810428,-2.02340324471032,0.0481818499073916,0.123855071225678,-4.01550452278726,"not"
"ENSSSCG00000000029",-0.511127431196835,3.9755161286545,-2.15020303095927,0.0362067938103174,0.102289452349486,-4.27346327554328,"not"
"ENSSSCG00000000031",0.222485754972974,4.16928880844626,2.34200586457586,0.0230424771027612,0.0755092938391956,-3.90419497962791,"not"
