sample	tissue	condition	sex	Code_Xavi	Day_sacrif	ID_code	ID
A10	Amygdala	control	F	8	Oct10	F850	946
A11	Amygdala	control	M	9	Oct10	M997	991
A12	Amygdala	control	M	10	Oct10	M329	993
A13	Amygdala	control	F	11	Oct10	F830	987
A14	Amygdala	control	F	12	Oct10	F825	990
A15	Amygdala	control	F	13	Oct10	F4936	988
A16	Amygdala	control	F	14	Oct10	F855	986
A17	Amygdala	control	M	15	Oct10	M362	989
A18	Amygdala	control	M	16	Oct10	M209	992
A20	Amygdala	control	F	17	Oct10	F832	957
A21	Amygdala	control	M	18	Oct10	M452	961
A22	Amygdala	control	F	19	Oct10	F851	962
A23	Amygdala	control	M	20	Oct10	M492	960
A24	Amygdala	control	F	21	Oct10	F809	956
A25	Amygdala	control	F	22	Oct10	F820	958
A26	Amygdala	control	M	23	Oct10	M904	955
A27	Amygdala	control	M	24	Oct10	M195	959
A28	Amygdala	stress	F	25	Oct17	F835	985
A29	Amygdala	stress	M	26	Oct17	M380	950
A3	Amygdala	control	M	1	Oct10	M178	947
A30	Amygdala	stress	F	27	Oct17	F844	951
A31	Amygdala	stress	M	28	Oct17	M5288	953
A32	Amygdala	stress	F	29	Oct17	F819	954
A33	Amygdala	stress	M	30	Oct17	M644	948
A34	Amygdala	stress	F	31	Oct17	F817	949
A35	Amygdala	control	M	32	Oct10	M976	976
A36	Amygdala	stress	M	33	Oct17	M194	979
A37	Amygdala	stress	M	34	Oct17	M902	978
A38	Amygdala	stress	F	35	Oct17	F834	982
A39	Amygdala	stress	M	36	Oct17	M158	981
A4	Amygdala	control	M	2	Oct10	M191	945
A40	Amygdala	stress	F	37	Oct17	F814	980
A41	Amygdala	stress	F	38	Oct17	F815	984
A42	Amygdala	stress	M	39	Oct17	M642	983
A43	Amygdala	stress	F	40	Oct17	F835/F818	934
A44	Amygdala	stress	M	41	Oct17	M249	952
A47	Amygdala	stress	F	43	Oct24	F848	965
A49	Amygdala	stress	F	45	Oct24	F837	967
A5	Amygdala	control	F	3	Oct10	F829	943
A50	Amygdala	stress	F	46	Oct24	F816	968
A51	Amygdala	stress	M	47	Oct24	M646	969
A52	Amygdala	stress	M	48	Oct24	M424	964
A53	Amygdala	stress	F	49	Oct24	F839	966
A6	Amygdala	control	F	4	Oct10	F823	942
A60	Amygdala	control	F	56	Oct10	F831	973
A62	Amygdala	stress	M	58	Oct24	M415	935
A63	Amygdala	stress	M	59	Oct24	M267	937
A66	Amygdala	stress	F	62	Oct24	F824	938
A67	Amygdala	stress	M	63	Oct24	M917	939
A7	Amygdala	control	F	5	Oct10	F842	941
A8	Amygdala	control	M	6	Oct10	M376	944
A9	Amygdala	control	M	7	Oct10	M353	940
