sample	tissue	condition	sex	Code_Xavi	Day_sacrif	ID_code	ID
A10	Amygdala	control	F	8	40452	F850	946
A11	Amygdala	control	M	9	40452	M997	991
A12	Amygdala	control	M	10	40452	M329	993
A13	Amygdala	control	F	11	40452	F830	987
A14	Amygdala	control	F	12	40452	F825	990
A15	Amygdala	control	F	13	40452	F4936	988
A16	Amygdala	control	F	14	40452	F855	986
A17	Amygdala	control	M	15	40452	M362	989
A18	Amygdala	control	M	16	40452	M209	992
A18	Amygdala	control	M	16	40452	M209	992
A20	Amygdala	control	F	17	40452	F832	957
A21	Amygdala	control	M	18	40452	M452	961
A21	Amygdala	control	M	18	40452	M452	961
A22	Amygdala	control	F	19	40452	F851	962
A22	Amygdala	control	F	19	40452	F851	962
A23	Amygdala	control	M	20	40452	M492	960
A24	Amygdala	control	F	21	40452	F809	956
A25	Amygdala	control	F	22	40452	F820	958
A26	Amygdala	control	M	23	40452	M904	955
A27	Amygdala	control	M	24	40452	M195	959
A28	Amygdala	stress	F	25	43009	F835	985
A29	Amygdala	stress	M	26	43009	M380	950
A3	Amygdala	control	M	1	40452	M178	947
A3	Amygdala	control	M	1	40452	M178	947
A30	Amygdala	stress	F	27	43009	F844	951
A31	Amygdala	stress	M	28	43009	M5288	953
A32	Amygdala	stress	F	29	43009	F819	954
A33	Amygdala	stress	M	30	43009	M644	948
A34	Amygdala	stress	F	31	43009	F817	949
A35	Amygdala	control	M	32	40452	M976	976
A36	Amygdala	stress	M	33	43009	M194	979
A37	Amygdala	stress	M	34	43009	M902	978
A38	Amygdala	stress	F	35	43009	F834	982
A39	Amygdala	stress	M	36	43009	M158	981
A4	Amygdala	control	M	2	40452	M191	945
A40	Amygdala	stress	F	37	43009	F814	980
A41	Amygdala	stress	F	38	43009	F815	984
A42	Amygdala	stress	M	39	43009	M642	983
A43	Amygdala	stress	F	40	43009	F835/F818	934
A44	Amygdala	stress	M	41	43009	M249	952
A47	Amygdala	stress	F	43	45566	F848	965
A49	Amygdala	stress	F	45	45566	F837	967
A5	Amygdala	control	F	3	40452	F829	943
A5	Amygdala	control	F	3	40452	F829	943
A50	Amygdala	stress	F	46	45566	F816	968
A50	Amygdala	stress	F	46	45566	F816	968
A51	Amygdala	stress	M	47	45566	M646	969
A52	Amygdala	stress	M	48	45566	M424	964
A53	Amygdala	stress	F	49	45566	F839	966
A6	Amygdala	control	F	4	40452	F823	942
A6	Amygdala	control	F	4	40452	F823	942
A60	Amygdala	control	F	56	40452	F831	973
A62	Amygdala	stress	M	58	45566	M415	935
A63	Amygdala	stress	M	59	45566	M267	937
A66	Amygdala	stress	F	62	45566	F824	938
A67	Amygdala	stress	M	63	45566	M917	939
A7	Amygdala	control	F	5	40452	F842	941
A8	Amygdala	control	M	6	40452	M376	944
A8	Amygdala	control	M	6	40452	M376	944
A9	Amygdala	control	M	7	40452	M353	940
A9	Amygdala	control	M	7	40452	M353	940
C10	Cortex	control	F	8	40452	F850	946
C11	Cortex	control	M	9	40452	M997	991
C12	Cortex	control	M	10	40452	M329	993
C13	Cortex	control	F	11	40452	F830	987
C14	Cortex	control	F	12	40452	F825	990
C15	Cortex	control	F	13	40452	F4936	988
C16	Cortex	control	F	14	40452	F855	986
C17	Cortex	control	M	15	40452	M362	989
C18	Cortex	control	M	16	40452	M209	992
C20	Cortex	control	F	17	40452	F832	957
C21	Cortex	control	M	18	40452	M452	961
C22	Cortex	control	F	19	40452	F851	962
C23	Cortex	control	M	20	40452	M492	960
C23	Cortex	control	M	20	40452	M492	960
C24	Cortex	control	F	21	40452	F809	956
C25	Cortex	control	F	22	40452	F820	958
C26	Cortex	control	M	23	40452	M904	955
C27	Cortex	control	M	24	40452	M195	959
C28	Cortex	stress	F	25	43009	F835	985
C29	Cortex	stress	M	26	43009	M380	950
C3	Cortex	control	M	1	40452	M178	947
C30	Cortex	stress	F	27	43009	F844	951
C31	Cortex	stress	M	28	43009	M5288	953
C32	Cortex	stress	F	29	43009	F819	954
C33	Cortex	stress	M	30	43009	M644	948
C34	Cortex	stress	F	31	43009	F817	949
C35	Cortex	control	M	32	40452	M976	976
C36	Cortex	stress	M	33	43009	M194	979
C37	Cortex	stress	M	34	43009	M902	978
C38	Cortex	stress	F	35	43009	F834	982
