sample	tissue	condition	sex	Code_Xavi	Day_sacrif	ID_code	ID
C10	Cortex	control	F	8	Oct10	F850	946
C11	Cortex	control	M	9	Oct10	M997	991
C12	Cortex	control	M	10	Oct10	M329	993
C13	Cortex	control	F	11	Oct10	F830	987
C14	Cortex	control	F	12	Oct10	F825	990
C15	Cortex	control	F	13	Oct10	F4936	988
C16	Cortex	control	F	14	Oct10	F855	986
C17	Cortex	control	M	15	Oct10	M362	989
C18	Cortex	control	M	16	Oct10	M209	992
C20	Cortex	control	F	17	Oct10	F832	957
C21	Cortex	control	M	18	Oct10	M452	961
C22	Cortex	control	F	19	Oct10	F851	962
C23	Cortex	control	M	20	Oct10	M492	960
C24	Cortex	control	F	21	Oct10	F809	956
C25	Cortex	control	F	22	Oct10	F820	958
C26	Cortex	control	M	23	Oct10	M904	955
C27	Cortex	control	M	24	Oct10	M195	959
C28	Cortex	stress	F	25	Oct17	F835	985
C29	Cortex	stress	M	26	Oct17	M380	950
C3	Cortex	control	M	1	Oct10	M178	947
C30	Cortex	stress	F	27	Oct17	F844	951
C31	Cortex	stress	M	28	Oct17	M5288	953
C32	Cortex	stress	F	29	Oct17	F819	954
C33	Cortex	stress	M	30	Oct17	M644	948
C34	Cortex	stress	F	31	Oct17	F817	949
C35	Cortex	control	M	32	Oct10	M976	976
C36	Cortex	stress	M	33	Oct17	M194	979
C37	Cortex	stress	M	34	Oct17	M902	978
C38	Cortex	stress	F	35	Oct17	F834	982
C39	Cortex	stress	M	36	Oct17	M158	981
C4	Cortex	control	M	2	Oct10	M191	945
C40	Cortex	stress	F	37	Oct17	F814	980
C41	Cortex	stress	F	38	Oct17	F815	984
C42	Cortex	stress	M	39	Oct17	M642	983
C43	Cortex	stress	F	40	Oct17	F835/F818	934
C44	Cortex	stress	M	41	Oct17	M249	952
C47	Cortex	stress	F	43	Oct24	F848	965
C49	Cortex	stress	F	45	Oct24	F837	967
C5	Cortex	control	F	3	Oct10	F829	943
C50	Cortex	stress	F	46	Oct24	F816	968
C51	Cortex	stress	M	47	Oct24	M646	969
C52	Cortex	stress	M	48	Oct24	M424	964
C53	Cortex	stress	F	49	Oct24	F839	966
C6	Cortex	control	F	4	Oct10	F823	942
C60	Cortex	control	F	56	Oct10	F831	973
C62	Cortex	stress	M	58	Oct24	M415	935
C63	Cortex	stress	M	59	Oct24	M267	937
C66	Cortex	stress	F	62	Oct24	F824	938
C67	Cortex	stress	M	63	Oct24	M917	939
C7	Cortex	control	F	5	Oct10	F842	941
C8	Cortex	control	M	6	Oct10	M376	944
C9	Cortex	control	M	7	Oct10	M353	940
