sample	tissue	condition	sex	Code_Xavi	Day_sacrif	ID_code	ID
H10	Hippocampus 	control	F	8	Oct10	F850	946
H11	Hippocampus 	control	M	9	Oct10	M997	991
H12	Hippocampus 	control	M	10	Oct10	M329	993
H13	Hippocampus 	control	F	11	Oct10	F830	987
H14	Hippocampus 	control	F	12	Oct10	F825	990
H15	Hippocampus 	control	F	13	Oct10	F4936	988
H16	Hippocampus 	control	F	14	Oct10	F855	986
H17	Hippocampus 	control	M	15	Oct10	M362	989
H18	Hippocampus 	control	M	16	Oct10	M209	992
H20	Hippocampus 	control	F	17	Oct10	F832	957
H21	Hippocampus 	control	M	18	Oct10	M452	961
H22	Hippocampus 	control	F	19	Oct10	F851	962
H23	Hippocampus 	control	M	20	Oct10	M492	960
H24	Hippocampus 	control	F	21	Oct10	F809	956
H25	Hippocampus 	control	F	22	Oct10	F820	958
H26	Hippocampus 	control	M	23	Oct10	M904	955
H27	Hippocampus 	control	M	24	Oct10	M195	959
H28	Hippocampus 	stress	F	25	Oct17	F835	985
H29	Hippocampus 	stress	M	26	Oct17	M380	950
H3	Hippocampus 	control	M	1	Oct10	M178	947
H30	Hippocampus 	stress	F	27	Oct17	F844	951
H31	Hippocampus 	stress	M	28	Oct17	M5288	953
H32	Hippocampus 	stress	F	29	Oct17	F819	954
H33	Hippocampus 	stress	M	30	Oct17	M644	948
H34	Hippocampus 	stress	F	31	Oct17	F817	949
H35	Hippocampus 	control	M	32	Oct10	M976	976
H36	Hippocampus 	stress	M	33	Oct17	M194	979
H37	Hippocampus 	stress	M	34	Oct17	M902	978
H38	Hippocampus 	stress	F	35	Oct17	F834	982
H39	Hippocampus 	stress	M	36	Oct17	M158	981
H4	Hippocampus 	control	M	2	Oct10	M191	945
H40	Hippocampus 	stress	F	37	Oct17	F814	980
H41	Hippocampus 	stress	F	38	Oct17	F815	984
H42	Hippocampus 	stress	M	39	Oct17	M642	983
H43	Hippocampus 	stress	F	40	Oct17	F835/F818	934
H44	Hippocampus 	stress	M	41	Oct17	M249	952
H47	Hippocampus 	stress	F	43	Oct24	F848	965
H49	Hippocampus 	stress	F	45	Oct24	F837	967
H5	Hippocampus 	control	F	3	Oct10	F829	943
H50	Hippocampus 	stress	F	46	Oct24	F816	968
H51	Hippocampus 	stress	M	47	Oct24	M646	969
H52	Hippocampus 	stress	M	48	Oct24	M424	964
H53	Hippocampus 	stress	F	49	Oct24	F839	966
H6	Hippocampus 	control	F	4	Oct10	F823	942
H60	Hippocampus 	control	F	56	Oct10	F831	973
H62	Hippocampus 	stress	M	58	Oct24	M415	935
H63	Hippocampus 	stress	M	59	Oct24	M267	937
H66	Hippocampus 	stress	F	62	Oct24	F824	938
H67	Hippocampus 	stress	M	63	Oct24	M917	939
H7	Hippocampus 	control	F	5	Oct10	F842	941
H8	Hippocampus 	control	M	6	Oct10	M376	944
H9	Hippocampus 	control	M	7	Oct10	M353	940
