Code Liver	ID_code	ID	Tto	sex	Code_Xavi	Day_sacrif
L3	M178	947	control	M	1	10/10/2023
L4	M191	945	control	M	2	10/10/2023
L5	F829	943	control	F	3	10/10/2023
L6	F823	942	control	F	4	10/10/2023
L7	F842	941	control	F	5	10/10/2023
L8	M376	944	control	M	6	10/10/2023
L9	M353	940	control	M	7	10/10/2023
L10	F850	946	control	F	8	10/10/2023
L11	M997	991	control	M	9	10/10/2023
L12	M329	993	control	M	10	10/10/2023
L13	F830	987	control	F	11	10/10/2023
L14	F825	990	control	F	12	10/10/2023
L15	F4936	988	control	F	13	10/10/2023
L16	F855	986	control	F	14	10/10/2023
L17	M362	989	control	M	15	10/10/2023
L18	M209	992	control	M	16	10/10/2023
L20	F832	957	control	F	17	10/10/2023
L21	M452	961	control	M	18	10/10/2023
L22	F851	962	control	F	19	10/10/2023
L23	M492	960	control	M	20	10/10/2023
L24	F809	956	control	F	21	10/10/2023
L25	F820	958	control	F	22	10/10/2023
L26	M904	955	control	M	23	10/10/2023
L27	M195	959	control	M	24	10/10/2023
L35	M976	976	control	M	32	10/10/2023
L60	F831	973	control	F	56	10/10/2023
L28	F835	985	stress	F	25	17/10/2024
L29	M380	950	stress	M	26	17/10/2024
L30	F844	951	stress	F	27	17/10/2024
L31	M5288	953	stress	M	28	17/10/2024
L32	F819	954	stress	F	29	17/10/2024
L33	M644	948	stress	M	30	17/10/2024
L34	F817	949	stress	F	31	17/10/2024
L36	M194	979	stress	M	33	17/10/2024
L37	M902	978	stress	M	34	17/10/2024
L38	F834	982	stress	F	35	17/10/2024
L39	M158	981	stress	M	36	17/10/2024
L40	F814	980	stress	F	37	17/10/2024
L41	F815	984	stress	F	38	17/10/2024
L42	M642	983	stress	M	39	17/10/2024
L43	F818	934	stress	F	40	17/10/2024
L44	M249	952	stress	M	41	17/10/2024
L52	M424	964	stress	M	48	24/10/2024
L51	M646	969	stress	M	47	24/10/2024
L63	M267	937	stress	M	59	24/10/2024
L62	M415	935	stress	M	58	24/10/2024
L67	M917	939	stress	M	63	24/10/2024
L49	F837	967	stress	F	45	24/10/2024
L66	F824	938	stress	F	62	24/10/2024
L50	F816	968	stress	F	46	24/10/2024
L47	F848	965	stress	F	43	24/10/2024
L53	F839	966	stress	F	49	24/10/2024
