transcript_id	gene_id	gene_name
ENSSSCT00000103363	ENSSSCG00000028996	ALDH1A1
ENSSSCT00000079862	ENSSSCG00000028996	ALDH1A1
ENSSSCT00000082123	ENSSSCG00000028996	ALDH1A1
ENSSSCT00000091043	ENSSSCG00000028996	ALDH1A1
ENSSSCT00000076078	ENSSSCG00000028996	ALDH1A1
ENSSSCT00000050861	ENSSSCG00000028996	ALDH1A1
ENSSSCT00000027607	ENSSSCG00000028996	ALDH1A1
ENSSSCT00000033404	ENSSSCG00000005267	ANXA1
ENSSSCT00000005802	ENSSSCG00000005267	ANXA1
ENSSSCT00000064905	ENSSSCG00000005268	RORB
ENSSSCT00000087413	ENSSSCG00000005268	RORB
ENSSSCT00000005803	ENSSSCG00000005268	RORB
ENSSSCT00000037918	ENSSSCG00000005268	RORB
ENSSSCT00000041871	ENSSSCG00000005269	TRPM6
ENSSSCT00000048657	ENSSSCG00000005269	TRPM6
ENSSSCT00000005804	ENSSSCG00000005269	TRPM6
ENSSSCT00000065225	ENSSSCG00000031382	C9orf40
ENSSSCT00000005806	ENSSSCG00000005271	CARNMT1
ENSSSCT00000053174	ENSSSCG00000005272	NMRK1
ENSSSCT00000052696	ENSSSCG00000005272	NMRK1
ENSSSCT00000074466	ENSSSCG00000005273	OSTF1
ENSSSCT00000078161	ENSSSCG00000005273	OSTF1
ENSSSCT00000042536	ENSSSCG00000005273	OSTF1
ENSSSCT00000005808	ENSSSCG00000005273	OSTF1
ENSSSCT00000042535	ENSSSCG00000005273	OSTF1
ENSSSCT00000072157	ENSSSCG00000045514	ENSSSCG00000045514
ENSSSCT00000097162	ENSSSCG00000023520	PCSK5
ENSSSCT00000080178	ENSSSCG00000023520	PCSK5
ENSSSCT00000024731	ENSSSCG00000023520	PCSK5
ENSSSCT00000046278	ENSSSCG00000023520	PCSK5
ENSSSCT00000087592	ENSSSCG00000023520	PCSK5
ENSSSCT00000104224	ENSSSCG00000057774	ENSSSCG00000057774
ENSSSCT00000076091	ENSSSCG00000037277	RFK
ENSSSCT00000045630	ENSSSCG00000037277	RFK
ENSSSCT00000083992	ENSSSCG00000005277	GCNT1
ENSSSCT00000103486	ENSSSCG00000004361	GRIK2
ENSSSCT00000067122	ENSSSCG00000004361	GRIK2
ENSSSCT00000004819	ENSSSCG00000004361	GRIK2
ENSSSCT00000032833	ENSSSCG00000004361	GRIK2
ENSSSCT00000099490	ENSSSCG00000004349	COQ3
ENSSSCT00000047364	ENSSSCG00000004349	COQ3
ENSSSCT00000004806	ENSSSCG00000004349	COQ3
ENSSSCT00000028667	ENSSSCG00000004349	COQ3
ENSSSCT00000004805	ENSSSCG00000004349	COQ3
ENSSSCT00000004721	ENSSSCG00000004272	LMBRD1
ENSSSCT00000042299	ENSSSCG00000004272	LMBRD1
ENSSSCT00000048318	ENSSSCG00000037594	PNISR
ENSSSCT00000028650	ENSSSCG00000037594	PNISR
ENSSSCT00000060237	ENSSSCG00000037594	PNISR
ENSSSCT00000074211	ENSSSCG00000044472	COL19A1
ENSSSCT00000004710	ENSSSCG00000004261	ENSSSCG00000004261
ENSSSCT00000085120	ENSSSCG00000050732	ENSSSCG00000050732
ENSSSCT00000084188	ENSSSCG00000004351	USP45
ENSSSCT00000030684	ENSSSCG00000004351	USP45
ENSSSCT00000004808	ENSSSCG00000004351	USP45
ENSSSCT00000024609	ENSSSCG00000004262	KPNA5
ENSSSCT00000094256	ENSSSCG00000004262	KPNA5
ENSSSCT00000004711	ENSSSCG00000004262	KPNA5
ENSSSCT00000053219	ENSSSCG00000038757	ENSSSCG00000038757
ENSSSCT00000036804	ENSSSCG00000004353	CCNC
ENSSSCT00000037177	ENSSSCG00000004353	CCNC
ENSSSCT00000005819	ENSSSCG00000005284	GNA14
ENSSSCT00000058701	ENSSSCG00000005284	GNA14
ENSSSCT00000004712	ENSSSCG00000004263	ZUP1
ENSSSCT00000061721	ENSSSCG00000004263	ZUP1
ENSSSCT00000026305	ENSSSCG00000021802	ABHD17B
ENSSSCT00000050062	ENSSSCG00000031105	C9orf85
ENSSSCT00000093554	ENSSSCG00000031105	C9orf85
ENSSSCT00000004811	ENSSSCG00000004354	PRDM13
ENSSSCT00000004812	ENSSSCG00000004355	ENSSSCG00000004355
ENSSSCT00000079287	ENSSSCG00000034919	GDA
ENSSSCT00000098090	ENSSSCG00000034919	GDA
ENSSSCT00000089335	ENSSSCG00000034919	GDA
ENSSSCT00000092294	ENSSSCG00000034919	GDA
ENSSSCT00000097215	ENSSSCG00000034919	GDA
ENSSSCT00000095538	ENSSSCG00000034919	GDA
ENSSSCT00000062433	ENSSSCG00000034919	GDA
ENSSSCT00000083639	ENSSSCG00000034919	GDA
ENSSSCT00000031991	ENSSSCG00000023834	RSPH4A
ENSSSCT00000024566	ENSSSCG00000023834	RSPH4A
ENSSSCT00000045226	ENSSSCG00000032533	ENSSSCG00000032533
ENSSSCT00000058826	ENSSSCG00000031854	ENSSSCG00000031854
ENSSSCT00000092901	ENSSSCG00000025941	PTP4A1
ENSSSCT00000092386	ENSSSCG00000025941	PTP4A1
ENSSSCT00000058723	ENSSSCG00000025941	PTP4A1
ENSSSCT00000026265	ENSSSCG00000025941	PTP4A1
ENSSSCT00000004813	ENSSSCG00000004356	MCHR2
ENSSSCT00000005799	ENSSSCG00000030268	ZFAND5
ENSSSCT00000097431	ENSSSCG00000027002	KLHL32
ENSSSCT00000101549	ENSSSCG00000027002	KLHL32
ENSSSCT00000031034	ENSSSCG00000027002	KLHL32
ENSSSCT00000064737	ENSSSCG00000027002	KLHL32
ENSSSCT00000064080	ENSSSCG00000027002	KLHL32
ENSSSCT00000045175	ENSSSCG00000027002	KLHL32
ENSSSCT00000099305	ENSSSCG00000005266	TMC1
ENSSSCT00000005801	ENSSSCG00000005266	TMC1
ENSSSCT00000005825	ENSSSCG00000005288	TLE4
ENSSSCT00000040688	ENSSSCG00000005288	TLE4
ENSSSCT00000056345	ENSSSCG00000005288	TLE4
ENSSSCT00000064792	ENSSSCG00000005288	TLE4
ENSSSCT00000052025	ENSSSCG00000035934	TXNDC16
ENSSSCT00000005552	ENSSSCG00000005036	GPR137C
ENSSSCT00000062855	ENSSSCG00000004241	GJA1
ENSSSCT00000004688	ENSSSCG00000004241	GJA1
ENSSSCT00000048184	ENSSSCG00000005037	ERO1A
ENSSSCT00000059363	ENSSSCG00000005037	ERO1A
ENSSSCT00000004689	ENSSSCG00000004242	TBC1D32
ENSSSCT00000060707	ENSSSCG00000004242	TBC1D32
ENSSSCT00000058460	ENSSSCG00000035799	ENSSSCG00000035799
ENSSSCT00000065240	ENSSSCG00000044458	ENSSSCG00000044458
ENSSSCT00000063331	ENSSSCG00000005291	TLE1
ENSSSCT00000031821	ENSSSCG00000005291	TLE1
ENSSSCT00000042411	ENSSSCG00000005291	TLE1
ENSSSCT00000056381	ENSSSCG00000005038	PSMC6
ENSSSCT00000053879	ENSSSCG00000005038	PSMC6
ENSSSCT00000099636	ENSSSCG00000005038	PSMC6
ENSSSCT00000005554	ENSSSCG00000005038	PSMC6
ENSSSCT00000037343	ENSSSCG00000028308	ENSSSCG00000028308
ENSSSCT00000070735	ENSSSCG00000033805	ENSSSCG00000033805
ENSSSCT00000052100	ENSSSCG00000037497	ENSSSCG00000037497
ENSSSCT00000050314	ENSSSCG00000037497	ENSSSCG00000037497
ENSSSCT00000057300	ENSSSCG00000033763	GNAQ
ENSSSCT00000062484	ENSSSCG00000004344	MMS22L
ENSSSCT00000004800	ENSSSCG00000004344	MMS22L
ENSSSCT00000005823	ENSSSCG00000005286	CEP78
ENSSSCT00000042454	ENSSSCG00000005286	CEP78
ENSSSCT00000063317	ENSSSCG00000005286	CEP78
ENSSSCT00000004723	ENSSSCG00000004274	COL9A1
ENSSSCT00000073708	ENSSSCG00000004274	COL9A1
ENSSSCT00000005555	ENSSSCG00000005039	STYX
